PLAYER                  ,TEAM ,PERIOD.START ,CLOCK.START ,PERIOD.STOP ,CLOCK.STOP ,PLAY.TIME ,OFF ,DEF ,±   ,PTS ,REB ,BLK ,AST ,STL ,TO ,PF ,3P.MI ,3P.MA ,FG.MI ,FG.MA ,FT.MI ,FT.MA ,SUB.IN ,SUB.OUT ,EOQ ,ORS ,TF
Ousmane Dieng           ,OKC  ,           2 ,12:00       ,          2 ,5:02       ,06:58     , 14 , 12 ,3   ,  2 ,  1 ,  0 ,  0 ,  0 , 0 , 1 ,    1 ,    0 ,    0 ,    1 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Josh Giddey             ,OKC  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 15 , 24 ,-14 ,  6 ,  1 ,  0 ,  1 ,  1 , 0 , 0 ,    1 ,    0 ,    1 ,    3 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Josh Giddey             ,OKC  ,           2 ,12:00       ,          2 ,7:23       ,04:37     ,  6 ,  4 ,5   ,  1 ,  2 ,  0 ,  1 ,  1 , 1 , 1 ,    0 ,    0 ,    3 ,    0 ,    1 ,    1 ,     0 ,      1 ,  1 ,  1 , 0
Josh Giddey             ,OKC  ,           2 ,0:49        ,          3 ,5:37       ,07:12     , 16 , 17 ,-1  ,  2 ,  3 ,  0 ,  3 ,  1 , 2 , 0 ,    1 ,    0 ,    1 ,    1 ,    0 ,    0 ,     1 ,      1 ,  1 ,  3 , 0
Josh Giddey             ,OKC  ,           4 ,10:04       ,          5 ,12:00      ,10:04     , 29 , 28 ,1   , 12 ,  2 ,  0 ,  1 ,  0 , 2 , 1 ,    0 ,    1 ,    2 ,    4 ,    1 ,    1 ,     1 ,      0 ,  1 ,  2 , 0
Isaiah Joe              ,OKC  ,           1 ,4:31        ,          1 ,0:26       ,04:05     ,  3 , 11 ,-23 ,  0 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Isaiah Joe              ,OKC  ,           2 ,7:23        ,          3 ,12:00      ,07:23     , 22 , 21 ,1   ,  5 ,  1 ,  0 ,  0 ,  0 , 0 , 2 ,    1 ,    1 ,    0 ,    1 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Isaiah Joe              ,OKC  ,           3 ,5:37        ,          3 ,0:25       ,05:12     , 21 , 12 ,20  ,  0 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Isaiah Joe              ,OKC  ,           4 ,12:00       ,          4 ,5:33       ,06:27     , 18 , 13 ,9   ,  5 ,  0 ,  0 ,  0 ,  0 , 0 , 1 ,    2 ,    1 ,    0 ,    1 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Isaiah Joe              ,OKC  ,           4 ,2:34        ,          4 ,0:41       ,01:53     ,  7 ,  6 ,6   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Isaiah Joe              ,OKC  ,           4 ,0:27        ,          5 ,12:00      ,00:27     ,  4 ,  5 ,-26 ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Aaron Wiggins           ,OKC  ,           1 ,12:00       ,          2 ,12:00      ,12:00     , 20 , 38 ,-18 ,  3 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    1 ,    1 ,    0 ,    0 ,    0 ,     0 ,      0 ,  1 ,  0 , 0
Aaron Wiggins           ,OKC  ,           2 ,2:55        ,          2 ,0:12       ,02:43     , 10 ,  8 ,8   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Aaron Wiggins           ,OKC  ,           3 ,5:37        ,          4 ,10:04      ,07:33     , 30 , 21 ,14  ,  0 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  1 , 0
Aaron Wiggins           ,OKC  ,           4 ,0:41        ,          4 ,0:27       ,00:14     ,  2 ,  2 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 1 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Aaron Wiggins           ,OKC  ,           4 ,0:17        ,          5 ,12:00      ,00:17     ,  2 ,  3 ,-42 ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Darius Bazley           ,OKC  ,           1 ,0:26        ,          2 ,2:55       ,09:31     , 20 , 20 ,0   ,  2 ,  2 ,  0 ,  2 ,  0 , 1 , 1 ,    0 ,    0 ,    0 ,    1 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Darius Bazley           ,OKC  ,           3 ,0:25        ,          4 ,12:00      ,00:25     ,  3 ,  3 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Jalen Williams          ,OKC  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 15 , 24 ,-14 ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    1 ,    0 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Jalen Williams          ,OKC  ,           2 ,7:23        ,          2 ,2:55       ,04:28     , 12 , 13 ,-2  ,  4 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    1 ,    0 ,    1 ,    2 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Jalen Williams          ,OKC  ,           3 ,12:00       ,          3 ,2:45       ,09:15     , 24 , 21 ,3   ,  4 ,  2 ,  1 ,  2 ,  0 , 1 , 0 ,    1 ,    0 ,    1 ,    1 ,    0 ,    2 ,     0 ,      1 ,  1 ,  1 , 0
Jalen Williams          ,OKC  ,           4 ,10:04       ,          4 ,0:17       ,09:47     , 27 , 25 ,2   , 11 ,  1 ,  0 ,  0 ,  1 , 0 , 1 ,    0 ,    1 ,    1 ,    4 ,    0 ,    0 ,     1 ,      1 ,  0 ,  1 , 0
Kenrich Williams        ,OKC  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 15 , 24 ,-14 ,  4 ,  2 ,  0 ,  1 ,  1 , 0 , 0 ,    1 ,    0 ,    2 ,    2 ,    0 ,    0 ,     0 ,      1 ,  0 ,  1 , 0
Kenrich Williams        ,OKC  ,           1 ,0:26        ,          2 ,7:44       ,04:42     ,  8 ,  7 ,2   ,  1 ,  2 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    1 ,    0 ,    1 ,    1 ,     1 ,      1 ,  1 ,  2 , 0
Kenrich Williams        ,OKC  ,           2 ,2:55        ,          3 ,4:26       ,10:29     , 30 , 24 ,6   ,  2 ,  1 ,  0 ,  1 ,  0 , 0 , 0 ,    1 ,    0 ,    1 ,    1 ,    0 ,    0 ,     1 ,      1 ,  1 ,  1 , 0
Kenrich Williams        ,OKC  ,           3 ,0:25        ,          4 ,12:00      ,00:25     ,  3 ,  3 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Kenrich Williams        ,OKC  ,           4 ,10:04       ,          5 ,12:00      ,10:04     , 29 , 28 ,1   ,  0 ,  3 ,  0 ,  0 ,  2 , 2 , 1 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  3 , 0


Klay Thompson           ,GSW  ,           1 ,12:00       ,          1 ,4:05       ,07:55     , 24 , 15 ,13  , 10 ,  2 ,  0 ,  1 ,  0 , 1 , 2 ,    1 ,    2 ,    0 ,    2 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Klay Thompson           ,GSW  ,           1 ,0:26        ,          2 ,12:00      ,00:26     ,  3 ,  2 ,27  ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Klay Thompson           ,GSW  ,           2 ,9:08        ,          3 ,2:45       ,18:23     , 46 , 50 ,-2  ,  9 ,  4 ,  0 ,  1 ,  1 , 0 , 0 ,    4 ,    3 ,    3 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Klay Thompson           ,GSW  ,           3 ,0:25        ,          4 ,5:33       ,06:52     , 16 , 21 ,-8  ,  3 ,  0 ,  0 ,  1 ,  0 , 0 , 0 ,    3 ,    1 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Klay Thompson           ,GSW  ,           4 ,3:13        ,          5 ,12:00      ,03:13     , 16 , 13 ,11  ,  6 ,  1 ,  0 ,  0 ,  0 , 1 , 0 ,    0 ,    0 ,    0 ,    2 ,    0 ,    2 ,     1 ,      0 ,  1 ,  0 , 0
Kevon Looney            ,GSW  ,           1 ,4:31        ,          1 ,0:26       ,04:05     , 11 ,  3 ,23  ,  0 ,  2 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  1 , 0
Kevon Looney            ,GSW  ,           2 ,7:44        ,          3 ,12:00      ,07:44     , 21 , 22 ,-1  ,  2 ,  2 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    1 ,    1 ,    0 ,    0 ,     1 ,      0 ,  1 ,  2 , 0
Kevon Looney            ,GSW  ,           3 ,5:37        ,          4 ,12:00      ,05:37     , 15 , 24 ,-19 ,  2 ,  1 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    1 ,    0 ,    0 ,    2 ,     1 ,      0 ,  1 ,  1 , 0
Kevon Looney            ,GSW  ,           4 ,5:33        ,          4 ,0:41       ,04:52     , 14 , 11 ,7   ,  4 ,  1 ,  1 ,  0 ,  0 , 0 , 1 ,    0 ,    0 ,    0 ,    2 ,    0 ,    0 ,     1 ,      1 ,  0 ,  1 , 0
Kevon Looney            ,GSW  ,           4 ,0:27        ,          4 ,0:13       ,00:14     ,  3 ,  4 ,-51 ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Stephen Curry           ,GSW  ,           1 ,12:00       ,          1 ,0:50       ,11:10     , 35 , 18 ,18  , 10 ,  2 ,  0 ,  5 ,  0 , 2 , 0 ,    1 ,    2 ,    1 ,    2 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Stephen Curry           ,GSW  ,           1 ,0:26        ,          2 ,12:00      ,00:26     ,  3 ,  2 ,27  ,  3 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    1 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Stephen Curry           ,GSW  ,           2 ,5:02        ,          2 ,0:12       ,04:50     , 13 , 14 ,-2  ,  5 ,  0 ,  0 ,  1 ,  0 , 0 , 0 ,    0 ,    1 ,    0 ,    0 ,    0 ,    2 ,     1 ,      1 ,  0 ,  0 , 0
Stephen Curry           ,GSW  ,           3 ,12:00       ,          4 ,12:00      ,12:00     , 31 , 37 ,-6  , 13 ,  2 ,  1 ,  3 ,  0 , 1 , 0 ,    3 ,    3 ,    1 ,    2 ,    0 ,    0 ,     0 ,      0 ,  2 ,  0 , 0
Stephen Curry           ,GSW  ,           4 ,8:11        ,          5 ,12:00      ,08:11     , 28 , 22 ,8   ,  7 ,  4 ,  0 ,  3 ,  0 , 1 , 0 ,    2 ,    1 ,    0 ,    0 ,    0 ,    4 ,     1 ,      0 ,  1 ,  1 , 0
Andrew Wiggins          ,GSW  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 24 , 15 ,14  ,  3 ,  1 ,  1 ,  0 ,  0 , 0 , 0 ,    1 ,    1 ,    0 ,    0 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Andrew Wiggins          ,GSW  ,           2 ,12:00       ,          2 ,7:44       ,04:16     ,  4 ,  6 ,-5  ,  2 ,  1 ,  0 ,  0 ,  0 , 1 , 0 ,    0 ,    0 ,    1 ,    1 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Andrew Wiggins          ,GSW  ,           2 ,5:02        ,          2 ,2:55       ,02:07     ,  5 ,  4 ,5   ,  0 ,  0 ,  0 ,  1 ,  0 , 0 , 1 ,    1 ,    0 ,    1 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Andrew Wiggins          ,GSW  ,           3 ,12:00       ,          3 ,5:37       ,06:23     , 16 , 13 ,5   ,  6 ,  1 ,  0 ,  0 ,  1 , 0 , 2 ,    0 ,    0 ,    1 ,    3 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Andrew Wiggins          ,GSW  ,           4 ,12:00       ,          4 ,0:41       ,11:19     , 27 , 29 ,-2  ,  4 ,  1 ,  1 ,  0 ,  0 , 0 , 1 ,    1 ,    0 ,    0 ,    2 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Andrew Wiggins          ,GSW  ,           4 ,0:41        ,          5 ,12:00      ,00:41     ,  7 ,  6 ,17  ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 1 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Donte DiVincenzo        ,GSW  ,           1 ,4:31        ,          2 ,5:02       ,11:29     , 26 , 19 ,7   ,  8 ,  4 ,  0 ,  1 ,  1 , 1 , 0 ,    2 ,    2 ,    0 ,    1 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Donte DiVincenzo        ,GSW  ,           2 ,2:55        ,          3 ,12:00      ,02:55     ,  8 , 10 ,-8  ,  0 ,  0 ,  0 ,  0 ,  1 , 0 , 0 ,    0 ,    0 ,    2 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Donte DiVincenzo        ,GSW  ,           3 ,5:37        ,          4 ,8:11       ,09:26     , 21 , 37 ,-20 ,  0 ,  0 ,  0 ,  2 ,  0 , 1 , 2 ,    1 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Donte DiVincenzo        ,GSW  ,           4 ,5:33        ,          4 ,3:13       ,02:20     ,  5 ,  4 ,5   ,  0 ,  0 ,  0 ,  0 ,  1 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Jonathan Kuminga        ,GSW  ,           1 ,4:31        ,          2 ,9:08       ,07:23     , 14 ,  7 ,11  ,  0 ,  2 ,  0 ,  1 ,  0 , 0 , 0 ,    1 ,    0 ,    1 ,    0 ,    0 ,    0 ,     1 ,      1 ,  1 ,  0 , 0
Jonathan Kuminga        ,GSW  ,           2 ,0:12        ,          3 ,12:00      ,00:12     ,  0 ,  0 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0
Jonathan Kuminga        ,GSW  ,           3 ,4:57        ,          3 ,0:25       ,04:32     , 12 , 17 ,-13 ,  4 ,  1 ,  0 ,  0 ,  0 , 0 , 3 ,    1 ,    0 ,    0 ,    2 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Anthony Lamb            ,GSW  ,           1 ,4:05        ,          1 ,0:26       ,03:39     , 11 ,  3 ,26  ,  0 ,  3 ,  0 ,  1 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Anthony Lamb            ,GSW  ,           2 ,7:44        ,          2 ,2:55       ,04:49     , 13 , 12 ,2   ,  5 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    1 ,    0 ,    1 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Anthony Lamb            ,GSW  ,           3 ,2:45        ,          4 ,12:00      ,02:45     , 10 , 13 ,-13 ,  0 ,  0 ,  0 ,  0 ,  0 , 1 , 2 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0

Draymond Green          ,GSW  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 24 , 15 ,14  ,  2 ,  4 ,  0 ,  5 ,  0 , 1 , 0 ,    0 ,    0 ,    0 ,    1 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Draymond Green          ,GSW  ,           2 ,12:00       ,          2 ,7:44       ,04:16     ,  4 ,  6 ,-5  ,  0 ,  2 ,  0 ,  0 ,  0 , 0 , 2 ,    1 ,    0 ,    0 ,    0 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Draymond Green          ,GSW  ,           2 ,2:55        ,          3 ,4:57       ,09:58     , 24 , 27 ,-3  ,  3 ,  3 ,  0 ,  2 ,  0 , 1 , 1 ,    0 ,    0 ,    0 ,    1 ,    1 ,    1 ,     1 ,      1 ,  1 ,  1 , 0
Draymond Green          ,GSW  ,           4 ,12:00       ,          4 ,5:33       ,06:27     , 13 , 18 ,-9  ,  2 ,  0 ,  0 ,  2 ,  1 , 1 , 0 ,    0 ,    0 ,    0 ,    1 ,    0 ,    0 ,     0 ,      1 ,  1 ,  0 , 0
Draymond Green          ,GSW  ,           4 ,3:13        ,          5 ,12:00      ,03:13     , 16 , 13 ,11  ,  0 ,  0 ,  0 ,  3 ,  1 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      0 ,  1 ,  0 , 0

Jordan Poole            ,GSW  ,           1 ,12:00       ,          1 ,4:31       ,07:29     , 24 , 15 ,14  ,  2 ,  0 ,  0 ,  1 ,  0 , 0 , 1 ,    1 ,    0 ,    1 ,    1 ,    0 ,    0 ,     0 ,      1 ,  0 ,  0 , 0
Jordan Poole            ,GSW  ,           1 ,0:50        ,          2 ,5:02       ,07:48     , 15 , 16 ,-1  ,  4 ,  0 ,  0 ,  2 ,  0 , 2 , 0 ,    1 ,    0 ,    0 ,    1 ,    0 ,    2 ,     1 ,      1 ,  1 ,  0 , 0
Jordan Poole            ,GSW  ,           3 ,12:00       ,          3 ,5:37       ,06:23     , 16 , 13 ,5   ,  1 ,  0 ,  0 ,  1 ,  1 , 0 , 0 ,    1 ,    0 ,    1 ,    0 ,    1 ,    1 ,     0 ,      1 ,  1 ,  0 , 0
Jordan Poole            ,GSW  ,           4 ,12:00       ,          4 ,3:13       ,08:47     , 18 , 22 ,-5  ,  7 ,  0 ,  0 ,  0 ,  1 , 0 , 0 ,    1 ,    2 ,    2 ,    0 ,    1 ,    1 ,     0 ,      1 ,  1 ,  0 , 0
Jordan Poole            ,GSW  ,           4 ,0:41        ,          4 ,0:27       ,00:14     ,  2 ,  2 ,0   ,  0 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    0 ,    0 ,     1 ,      1 ,  0 ,  0 , 0
Jordan Poole            ,GSW  ,           4 ,0:13        ,          5 ,12:00      ,00:13     ,  2 ,  0 ,110 ,  1 ,  0 ,  0 ,  0 ,  0 , 0 , 0 ,    0 ,    0 ,    0 ,    0 ,    1 ,    1 ,     1 ,      0 ,  1 ,  0 , 0
