id,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
0,STARTOFPERIOD,1,12:00,Start of 1st Period (8:00 PM EST),0-0,0,,,,,,
1,JUMPBALL,1,12:00,Jump Ball Wiseman vs. Holmgren: Tip to Curry,0-0,0,James Wiseman,GSW,Chet Holmgren,OKC,Stephen Curry,GSW
108,2POINT,2,6:55,Gilgeous-Alexander 20' Jump Shot (11 PTS),49-45,4,Shai Gilgeous-Alexander,OKC,,,,,
109,2POINTMISS,2,6:40,MISS Wiseman 6' Hook Shot,49-45,4,James Wiseman,GSW,,,,,
110,REBOUND,2,6:38,Defensive Rebound by Holmgren,49-45,4,Chet Holmgren,OKC,,,,,
111,2POINT,2,6:20,Holmgren 8' Turnaround Jumper (9 PTS),49-47,2,Chet Holmgren,OKC,,,,,
112,2POINTMISS,2,6:05,MISS Green 14' Jump Shot,49-47,2,Draymond Green,GSW,,,,,
113,REBOUND,2,6:03,Defensive Rebound by Gilgeous-Alexander,49-47,2,Shai Gilgeous-Alexander,OKC,,,,,
114,3POINT,2,5:50,Gilgeous-Alexander 24' 3PT Jump Shot (14 PTS),49-50,-1,Shai Gilgeous-Alexander,OKC,,,,,
115,FOUL,2,5:35,Foul on Lee (P2.T4),49-50,-1,Damion Lee,GSW,,,,,
116,FTMAKE,2,5:35,Mann Free Throw 1 of 1 (10 PTS),49-51,-2,Tre Mann,OKC,,,,,
117,ENDOFPERIOD,2,0:00,End of 2nd Period,49-51,-2,,,,,,
