New York Knicks Starting Lineup:
PG: Jalen Brunson
SG: RJ Barrett 
SF: Julius Randle
PF: Obi Toppin
C: Mitchell Robinson

New Orleans Pelicans Expected Starting Lineup:  
PG: CJ McCollum
SG: Brandon Ingram
SF: Herbert Jones
PF: Zion Williamson  
C: Jonas Valanciunas

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
3,7:50,NOP,3pt Made,CJ McCollum,,Pullup three pointer made,80-61
3,7:50,NYK,Timeout,,,Full timeout called,80-61
3,7:38,NYK,Substitution,Immanuel Quickley,Josh Hart,Hart subbed out,80-61
3,7:35,NYK,2pt Made,Julius Randle,,Cutting dunk made,82-61
3,7:19,NOP,Turnover,Brandon Ingram,,Lost ball out of bounds,82-61
3,7:11,NYK,3pt Made,Immanuel Quickley,,Catch and shoot three,85-61
3,6:53,NOP,2pt Missed,Zion Williamson,,Turnaround hook shot missed,85-61
3,6:50,NYK,Defensive Rebound,Mitchell Robinson,,Rebound secured,85-61
3,6:44,NYK,3pt Missed,Quentin Grimes,,Wing three off back rim,85-61
3,6:41,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound gathered,85-61
3,6:36,NOP,2pt Made,Herbert Jones,,Cutting layup made,85-63
3,6:36,NOP,Substitution,Jose Alvarado,CJ McCollum,McCollum subbed out,85-63
3,6:22,NYK,2pt Missed,Julius Randle,,Driving layup blocked,85-63
3,6:20,NOP,Block,Larry Nance Jr.,,Shot blocked,85-63
3,6:16,NOP,Defensive Rebound,Brandon Ingram,,Rebound collected,85-63
3,6:11,NOP,3pt Missed,Jose Alvarado,,Step back three short,85-63
3,6:08,NYK,Defensive Rebound,Quentin Grimes,,Rebound secured,85-63
3,6:03,NYK,2pt Made,Immanuel Quickley,,Running jump shot made,87-63
3,5:46,NOP,Turnover,Brandon Ingram,,Bad pass stolen,87-63
3,5:43,NYK,Steal,Immanuel Quickley,,Picked off pass,87-63
3,5:39,NYK,2pt Missed,Jalen Brunson,,Fast break layup missed,87-63
3,5:36,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound gathered,87-63
3,5:31,NOP,2pt Made,Zion Williamson,,Driving dunk made,87-65
3,5:17,NYK,3pt Made,Quentin Grimes,,Catch and shoot three,90-65
3,5:01,NOP,3pt Missed,Jose Alvarado,,Wing three misses,90-65
3,4:58,NYK,Defensive Rebound,Julius Randle,,Rebound secured,90-65
3,4:52,NYK,Turnover,Jalen Brunson,,Lost ball out of bounds,90-65
3,4:52,NYK,Substitution,Obi Toppin,Julius Randle,Randle subbed out,90-65
3,4:52,NYK,Substitution,Miles McBride,Jalen Brunson,Brunson subbed out,90-65
3,4:44,NOP,2pt Missed,Zion Williamson,,Hook shot blocked,90-65
3,4:42,NYK,Block,Mitchell Robinson,,Shot blocked,90-65
3,4:38,NYK,Defensive Rebound,Obi Toppin,,Rebound collected,90-65
3,4:33,NYK,3pt Missed,Immanuel Quickley,,Step back three bounces out,90-65
3,4:30,NOP,Defensive Rebound,Herbert Jones,,Rebound gathered,90-65
3,4:25,NOP,2pt Made,Brandon Ingram,,Driving finger roll layup,90-67
3,4:11,NYK,2pt Made,Obi Toppin,,Cutting layup scores,92-67
3,3:55,NOP,Turnover,Brandon Ingram,,Lost ball stolen,92-67
3,3:52,NYK,Steal,Miles McBride,,Picked off dribble,92-67
3,3:48,NYK,2pt Made,Quentin Grimes,,Fast break dunk made,94-67
3,3:48,NOP,Timeout,,,Full timeout called,94-67
3,3:38,NOP,Substitution,Dyson Daniels,Jose Alvarado,Alvarado subbed out,94-67
3,3:38,NOP,Substitution,Naji Marshall,Brandon Ingram,Ingram subbed out,94-67
3,3:34,NOP,2pt Made,Zion Williamson,,Post up and score,94-69
3,3:20,NYK,2pt Made,Mitchell Robinson,,Putback layup made,96-69
3,3:04,NOP,2pt Missed,Zion Williamson,,Turnaround jumper misses,96-69
3,3:01,NYK,Defensive Rebound,Quentin Grimes,,Rebound secured,96-69
3,2:56,NYK,2pt Missed,Immanuel Quickley,,Running floater off target,96-69
3,2:53,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound gathered,96-69
3,2:48,NOP,2pt Made,Naji Marshall,,Cutting layup scores,96-71
3,2:35,NYK,Turnover,Miles McBride,,Bad pass intercepted,96-71
3,2:32,NOP,Steal,Herbert Jones,,Picked off pass,96-71
3,2:28,NOP,2pt Missed,Naji Marshall,,Fast break layup missed,96-71
3,2:25,NYK,Defensive Rebound,Mitchell Robinson,,Rebound collected,96-71
3,2:20,NYK,3pt Missed,Quentin Grimes,,Pullup three too strong,96-71
3,2:17,NOP,Defensive Rebound,Zion Williamson,,Rebound secured,96-71
3,2:11,NOP,2pt Made,Zion Williamson,,Driving layup made,96-73
3,1:57,NYK,2pt Made,Obi Toppin,,Cutting dunk made,98-73
3,1:41,NOP,3pt Missed,Dyson Daniels,,Corner three off back rim,98-73
3,1:38,NYK,Defensive Rebound,Immanuel Quickley,,Rebound gathered,98-73
3,1:33,NYK,3pt Made,Miles McBride,,Catch and shoot three,101-73
3,1:17,NOP,2pt Missed,Herbert Jones,,Driving layup blocked,101-73
3,1:15,NYK,Block,Mitchell Robinson,,Shot blocked,101-73
3,1:11,NYK,Defensive Rebound,Obi Toppin,,Rebound collected,101-73
3,1:07,NYK,3pt Missed,Immanuel Quickley,,Step back three misses,101-73
3,1:04,NOP,Defensive Rebound,Larry Nance Jr.,,Rebound secured,101-73  
3,0:58,NOP,2pt Made,Zion Williamson,,Turnaround bank shot made,101-75
3,0:45,NYK,2pt Missed,Mitchell Robinson,,Hook shot off target,101-75
3,0:42,NOP,Defensive Rebound,Zion Williamson,,Rebound gathered,101-75
3,0:37,NOP,3pt Missed,Naji Marshall,,Transition three too strong,101-75
3,0:34,NYK,Defensive Rebound,Quentin Grimes,,Rebound collected,101-75
3,0:30,NYK,2pt Made,Miles McBride,,Driving layup scores,103-75
3,0:11,NOP,Turnover,Dyson Daniels,,Lost ball out of bounds,103-75
3,0:02,NYK,3pt Missed,Quentin Grimes,,Pullup three at buzzer,103-75




4,12:00,NOP,2pt Missed,Larry Nance Jr.,,Turnaround hook shot missed,103-75
4,11:57,NYK,Defensive Rebound,Obi Toppin,,Rebound secured,103-75
4,11:52,NYK,3pt Made,Immanuel Quickley,,Pullup three pointer made,106-75
4,11:35,NOP,2pt Missed,Dyson Daniels,,Driving layup blocked,106-75
4,11:33,NYK,Block,Mitchell Robinson,,Shot blocked,106-75
4,11:29,NYK,Defensive Rebound,Miles McBride,,Rebound gathered,106-75
4,11:24,NYK,2pt Made,Miles McBride,,Running jump shot scores,108-75
4,11:08,NOP,Turnover,Naji Marshall,,Bad pass out of bounds,108-75
4,11:08,NYK,Substitution,Jericho Sims,Mitchell Robinson,Robinson subbed out,108-75
4,11:08,NOP,Substitution,Kira Lewis Jr.,Herbert Jones,Jones subbed out,108-75
4,10:59,NYK,2pt Made,Obi Toppin,,Cutting dunk made,110-75
4,10:43,NOP,3pt Missed,Naji Marshall,,Catch and shoot three off target,110-75
4,10:40,NYK,Defensive Rebound,Jericho Sims,,Rebound collected,110-75
4,10:35,NYK,3pt Made,Quentin Grimes,,Transition three pointer made,113-75
4,10:35,NOP,Timeout,,,Full timeout called,113-75
4,10:24,NOP,Substitution,Jaxson Hayes,Larry Nance Jr.,Nance subbed out,113-75
4,10:24,NOP,Substitution,Garrett Temple,Zion Williamson,Williamson subbed out,113-75
4,10:20,NOP,2pt Made,Jaxson Hayes,,Alley-oop dunk made,113-77
4,10:05,NYK,2pt Missed,Jericho Sims,,Hook shot misses,113-77
4,10:02,NOP,Defensive Rebound,Jaxson Hayes,,Rebound secured,113-77
4,9:56,NOP,3pt Made,Kira Lewis Jr.,,Catch and shoot three,113-80
4,9:41,NYK,2pt Made,Obi Toppin,,Cutting layup scores,115-80
4,9:25,NOP,2pt Missed,Jaxson Hayes,,Jump hook off target,115-80
4,9:22,NYK,Defensive Rebound,Obi Toppin,,Rebound gathered,115-80
4,9:17,NYK,Turnover,Immanuel Quickley,,Bad pass stolen,115-80
4,9:14,NOP,Steal,Kira Lewis Jr.,,Picked off pass,115-80
4,9:10,NOP,2pt Missed,Garrett Temple,,Fast break layup missed,115-80
4,9:07,NYK,Defensive Rebound,Quentin Grimes,,Rebound collected,115-80
4,9:02,NYK,3pt Missed,Miles McBride,,Step back three bounces out,115-80
4,8:59,NOP,Defensive Rebound,Naji Marshall,,Rebound secured,115-80
4,8:54,NOP,2pt Made,Naji Marshall,,Driving layup made,115-82
4,8:40,NYK,2pt Made,Jericho Sims,,Putback dunk scores,117-82
4,8:24,NOP,3pt Missed,Dyson Daniels,,Wing three short,117-82
4,8:21,NYK,Defensive Rebound,Obi Toppin,,Rebound gathered,117-82
4,8:16,NYK,3pt Missed,Quentin Grimes,,Pullup three off back rim,117-82
4,8:13,NOP,Defensive Rebound,Jaxson Hayes,,Rebound controlled,117-82
4,8:08,NOP,2pt Made,Kira Lewis Jr.,,Driving finger roll layup,117-84
4,7:54,NYK,2pt Made,Obi Toppin,,Cutting layup scores,119-84
4,7:38,NOP,Turnover,Dyson Daniels,,Bad pass out of bounds,119-84
4,7:32,NYK,Substitution,Trevor Keels,Quentin Grimes,Grimes subbed out,119-84
4,7:28,NYK,2pt Made,Immanuel Quickley,,Pullup jumper good,121-84
4,7:12,NOP,2pt Missed,Naji Marshall,,Driving layup blocked,121-84
4,7:10,NYK,Block,Jericho Sims,,Shot blocked,121-84
4,7:06,NYK,Defensive Rebound,Trevor Keels,,Rebound collected,121-84
4,7:01,NYK,3pt Made,Trevor Keels,,Catch and shoot three,124-84
4,7:01,NOP,Timeout,,,Full timeout called,124-84
4,6:51,NOP,Substitution,Dereon Seabron,Dyson Daniels,Daniels subbed out,124-84
4,6:47,NOP,2pt Missed,Jaxson Hayes,,Jump hook off target,124-84
4,6:44,NYK,Defensive Rebound,Jericho Sims,,Rebound secured,124-84
