New York Knicks Starting Lineup:
1. PG: Jalen Brunson
2. SG: RJ Barrett
3. SF: Julius Randle
4. PF: Obi Toppin
5. C: Mitchell Robinson

New Orleans Pelicans Expected Starting Lineup:
1. PG: CJ McCollum
2. SG: Brandon Ingram
3. SF: Herbert Jones
4. PF: Zion Williamson
5. C: Jonas Valančiūnas

Period,Time,Team,Event Type,Player 1,Player 2,Description,Score
1,06:15,NYK,3PT Missed,Immanuel Quickley,,Immanuel Quickley misses a 3-pointer off the dribble.,13-15
1,06:13,NOP,Defensive Rebound,Zion Williamson,,Zion Williamson grabs the defensive rebound.,13-15
1,06:00,NOP,2PT Missed,Naji Marshall,,Naji Marshall misses a layup.,13-15
1,05:58,NYK,Defensive Rebound,Jericho Sims,,Jericho Sims grabs the defensive rebound.,13-15
1,05:45,NYK,3PT Made,Obi Toppin,Immanuel Quickley,Obi Toppin makes a 3-pointer off a pass from Immanuel Quickley.,16-15
1,05:30,NOP,Turnover,CJ McCollum,,CJ McCollum turns the ball over on a traveling violation.,16-15
1,05:15,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,18-15
1,05:00,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a driving layup.,18-17
1,04:45,NYK,3PT Missed,Julius Randle,,Julius Randle misses a 3-pointer from the wing.,18-17
1,04:43,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,18-17
1,04:30,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a fadeaway jumper.,18-19
1,04:15,NYK,2PT Missed,Obi Toppin,,Obi Toppin misses a layup.,18-19
1,04:13,NOP,Defensive Rebound,Naji Marshall,,Naji Marshall grabs the defensive rebound.,18-19
1,04:00,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer from the corner.,18-19
1,03:58,NYK,Defensive Rebound,RJ Barrett,,RJ Barrett grabs the defensive rebound.,18-19
1,03:45,NYK,Timeout,,,New York Knicks call a timeout.,18-19
1,03:45,NYK,Substitution,Jalen Brunson,Immanuel Quickley,Jalen Brunson enters the game for Immanuel Quickley.,18-19
1,03:45,NYK,Substitution,Quentin Grimes,Obi Toppin,Quentin Grimes enters the game for Obi Toppin.,18-19
1,03:45,NOP,Substitution,Trey Murphy III,Naji Marshall,Trey Murphy III enters the game for Naji Marshall.,18-19
1,03:30,NYK,3PT Made,Quentin Grimes,Jalen Brunson,Quentin Grimes makes a 3-pointer off a pass from Jalen Brunson.,21-19
1,03:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a hook shot.,21-19
1,03:13,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,21-19
1,03:00,NYK,2PT Missed,Jalen Brunson,,Jalen Brunson misses a floater in the lane.,21-19
1,02:58,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,21-19
1,02:45,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a turnaround jumper.,21-21
1,02:30,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a layup.,21-21
1,02:28,NOP,Defensive Rebound,Zion Williamson,,Zion Williamson grabs the defensive rebound.,21-21
1,02:15,NOP,2PT Made,CJ McCollum,,CJ McCollum makes a mid-range jumper.,21-23
1,02:00,NYK,3PT Missed,Quentin Grimes,,Quentin Grimes misses a 3-pointer from the wing.,21-23
1,01:58,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,21-23
1,01:45,NOP,3PT Missed,Trey Murphy III,,Trey Murphy III misses a 3-pointer from the corner.,21-23
1,01:43,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,21-23
1,01:30,NYK,2PT Made,Jalen Brunson,,Jalen Brunson makes a driving layup.,23-23
1,01:15,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer off the dribble.,23-26
1,01:00,NYK,3PT Missed,Quentin Grimes,,Quentin Grimes misses a 3-pointer from the top of the key.,23-26
1,00:58,NOP,Defensive Rebound,Brandon Ingram,,Brandon Ingram grabs the defensive rebound.,23-26
1,00:45,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a dunk off a fast break.,23-28
1,00:30,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,25-28
1,00:15,NOP,Turnover,Larry Nance Jr.,,Larry Nance Jr. turns the ball over on an offensive foul.,25-28
1,00:05,NYK,2PT Missed,Jalen Brunson,,Jalen Brunson misses a floater at the buzzer.,25-28
1,00:00,NOP,Defensive Rebound,Brandon Ingram,,Brandon Ingram grabs the defensive rebound as the quarter ends.,25-


2,12:00,NYK,Substitution,Josh Hart,RJ Barrett,Josh Hart enters the game for RJ Barrett.,25-28
2,12:00,NOP,Substitution,Jonas Valančiūnas,Larry Nance Jr.,Jonas Valančiūnas enters the game for Larry Nance Jr.,25-28
2,11:45,NYK,2PT Made,Julius Randle,,Julius Randle makes a driving layup.,27-28
2,11:30,NOP,2PT Missed,Brandon Ingram,,Brandon Ingram misses a mid-range jumper.,27-28
2,11:28,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,27-28
2,11:15,NYK,3PT Made,Quentin Grimes,Jalen Brunson,Quentin Grimes makes a 3-pointer off a pass from Jalen Brunson.,30-28
2,11:00,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup.,30-30
2,10:45,NYK,2PT Missed,Jalen Brunson,,Jalen Brunson misses a floater.,30-30
2,10:43,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,30-30
2,10:30,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer from the wing.,30-30
2,10:28,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,30-30
2,10:15,NYK,Turnover,Josh Hart,,Josh Hart turns the ball over on a bad pass.,30-30
2,10:00,NOP,2PT Made,Zion Williamson,CJ McCollum,Zion Williamson makes an alley-oop dunk off a pass from CJ McCollum.,30-32
2,09:45,NYK,3PT Missed,Quentin Grimes,,Quentin Grimes misses a 3-pointer from the corner.,30-32
2,09:43,NOP,Defensive Rebound,Trey Murphy III,,Trey Murphy III grabs the defensive rebound.,30-32
2,09:30,NOP,2PT Missed,Brandon Ingram,,Brandon Ingram misses a turnaround jumper.,30-32
2,09:28,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,30-32
2,09:15,NYK,2PT Made,Jalen Brunson,,Jalen Brunson makes a mid-range jumper.,32-32
2,09:00,NOP,Turnover,CJ McCollum,,CJ McCollum turns the ball over on a traveling violation.,32-32
2,08:45,NYK,Timeout,,,New York Knicks call a timeout.,32-32
2,08:45,NYK,Substitution,RJ Barrett,Quentin Grimes,RJ Barrett enters the game for Quentin Grimes.,32-32
2,08:45,NYK,Substitution,Mitchell Robinson,Jericho Sims,Mitchell Robinson enters the game for Jericho Sims.,32-32
2,08:45,NOP,Substitution,Herbert Jones,Trey Murphy III,Herbert Jones enters the game for Trey Murphy III.,32-32
2,08:30,NYK,3PT Missed,Jalen Brunson,,Jalen Brunson misses a 3-pointer off the dribble.,32-32
2,08:28,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,32-32
2,08:15,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a fadeaway jumper.,32-34
2,08:00,NYK,2PT Missed,Julius Randle,,Julius Randle misses a hook shot.,32-34
2,07:58,NOP,Defensive Rebound,Herbert Jones,,Herbert Jones grabs the defensive rebound.,32-34
2,07:45,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the top of the key.,32-37
2,07:30,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a cutting layup.,34-37
2,07:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a layup.,34-37
2,07:13,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,34-37
2,07:00,NYK,3PT Made,Julius Randle,Jalen Brunson,Julius Randle makes a 3-pointer off a pass from Jalen Brunson.,37-37
2,06:45,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a mid-range jumper.,37-39
2,06:30,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a driving layup.,37-39
2,06:28,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,37-39
2,06:15,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer from the wing.,37-39
2,06:13,NYK,Defensive Rebound,Josh Hart,,Josh Hart grabs the defensive rebound.,37-39
2,06:00,NYK,2PT Made,Jalen Brunson,,Jalen Brunson makes a floater in the lane.,39-39
2,05:45,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a turnaround jumper.,39-39
2,05:43,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,39-39
2,05:30,NYK,Turnover,Julius Randle,,Julius Randle turns the ball over on an offensive foul.,39-39
2,05:15,NOP,3PT Made,Brandon Ingram,CJ McCollum,Brandon Ingram makes a 3-pointer off a pass from CJ McCollum.,39-42
2,05:00,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,41-42
2,04:45,NOP,2PT Missed,Herbert Jones,,Herbert Jones misses a layup.,41-42
2,04:43,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,41-42
2,04:30,NYK,3PT Missed,Josh Hart,,Josh Hart misses a 3-pointer from the corner.,41-42
2,04:28,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,41-42
2,04:15,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a dunk.,41-44
2,04:00,NYK,3PT Missed,Jalen Brunson,,Jalen Brunson misses a step-back 3-pointer.,41-44
2,03:58,NOP,Defensive Rebound,Herbert Jones,,Herbert Jones grabs the defensive rebound.,41-44
2,03:45,NOP,Timeout,,,New Orleans Pelicans call a timeout.,41-44
2,03:45,NYK,Substitution,Immanuel Quickley,Jalen Brunson,Immanuel Quickley enters the game for Jalen Brunson.,41-44
2,03:45,NYK,Substitution,Obi Toppin,Julius Randle,Obi Toppin enters the game for Julius Randle.,41-44
2,03:45,NOP,Substitution,Larry Nance Jr.,Jonas Valančiūnas,Larry Nance Jr. enters the game for Jonas Valančiūnas.,41-44
2,03:45,NOP,Substitution,Jose Alvarado,CJ McCollum,Jose Alvarado enters the game for CJ McCollum.,41-44
2,03:30,NOP,3PT Missed,Brandon Ingram,,Brandon Ingram misses a 3-pointer from the wing.,41-44
2,03:28,NYK,Defensive Rebound,Josh Hart,,Josh Hart grabs the defensive rebound.,41-44
2,03:15,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a driving layup.,43-44
2,03:00,NOP,2PT Missed,Larry Nance Jr.,,Larry Nance Jr. misses a hook shot.,43-44
2,02:58,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,43-44
2,02:45,NYK,2PT Missed,Immanuel Quickley,,Immanuel Quickley misses a mid-range jumper.,43-44
2,02:43,NOP,Defensive Rebound,Herbert Jones,,Herbert Jones grabs the defensive rebound.,43-44
2,02:30,NOP,3PT Made,Jose Alvarado,,Jose Alvarado makes a 3-pointer off the dribble.,43-47
2,02:15,NYK,3PT Made,Immanuel Quickley,RJ Barrett,Immanuel Quickley makes a 3-pointer off a pass from RJ Barrett.,46-47
2,02:00,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a layup.,46-47
2,01:58,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,46-47
2,01:45,NYK,2PT Made,Obi Toppin,Immanuel Quickley,Obi Toppin makes an alley-oop dunk off a pass from Immanuel Quickley.,48-47
2,01:30,NOP,Turnover,Brandon Ingram,,Brandon Ingram turns the ball over on a lost ball.,48-47
2,01:15,NYK,3PT Missed,RJ Barrett,,RJ Barrett misses a 3-pointer from the corner.,48-47
2,01:13,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,48-47
2,01:00,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup.,48-49
2,00:45,NYK,2PT Missed,Obi Toppin,,Obi Toppin misses a dunk.,48-49
2,00:43,NOP,Defensive Rebound,Brandon Ingram,,Brandon Ingram grabs the defensive rebound.,48-49
2,00:30,NOP,3PT Missed,Jose Alvarado,,Jose Alvarado misses a 3-pointer from the wing.,48-49
2,00:28,NYK,Defensive Rebound,Josh Hart,,Josh Hart grabs the defensive rebound.,48-49
2,00:10,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper at the buzzer.,50-49
2,00:00,NYK,End of Period,,,End of the second quarter.,50-49


3,12:00,NOP,Substitution,CJ McCollum,Jose Alvarado,CJ McCollum enters the game for Jose Alvarado.,50-49
3,12:00,NOP,Substitution,Jonas Valančiūnas,Larry Nance Jr.,Jonas Valančiūnas enters the game for Larry Nance Jr.,50-49
3,11:45,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a layup.,50-49
3,11:43,NOP,Defensive Rebound,Herbert Jones,,Herbert Jones grabs the defensive rebound.,50-49
3,11:30,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the top of the key.,50-52
3,11:15,NYK,2PT Made,Julius Randle,,Julius Randle makes a driving layup.,52-52
3,11:00,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a fadeaway jumper.,52-54
3,10:45,NYK,3PT Missed,Jalen Brunson,,Jalen Brunson misses a 3-pointer from the wing.,52-54
3,10:43,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,52-54
3,10:30,NOP,2PT Made,Zion Williamson,CJ McCollum,Zion Williamson makes a dunk off a pass from CJ McCollum.,52-56
3,10:15,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,54-56
3,10:00,NOP,Turnover,Herbert Jones,,Herbert Jones turns the ball over on a bad pass.,54-56
3,09:45,NYK,2PT Missed,Julius Randle,,Julius Randle misses a hook shot.,54-56
3,09:43,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,54-56
3,09:30,NOP,3PT Missed,Brandon Ingram,,Brandon Ingram misses a 3-pointer from the corner.,54-56
3,09:28,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,54-56
3,09:15,NYK,Turnover,Jalen Brunson,,Jalen Brunson turns the ball over on a lost ball.,54-56
3,09:00,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a layup.,54-56
3,08:58,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,54-56
3,08:45,NYK,3PT Made,RJ Barrett,Jalen Brunson,RJ Barrett makes a 3-pointer off a pass from Jalen Brunson.,57-56
3,08:30,NOP,2PT Made,CJ McCollum,,CJ McCollum makes a mid-range jumper.,57-58
3,08:15,NYK,2PT Missed,Julius Randle,,Julius Randle misses a turnaround jumper.,57-58
3,08:13,NOP,Defensive Rebound,Brandon Ingram,,Brandon Ingram grabs the defensive rebound.,57-58
3,08:00,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer off the dribble.,57-58
3,07:58,NYK,Defensive Rebound,RJ Barrett,,RJ Barrett grabs the defensive rebound.,57-58
3,07:45,NYK,Timeout,,,New York Knicks call a timeout.,57-58
3,07:45,NYK,Substitution,Quentin Grimes,Jalen Brunson,Quentin Grimes enters the game for Jalen Brunson.,57-58
3,07:45,NOP,Substitution,Larry Nance Jr.,Jonas Valančiūnas,Larry Nance Jr. enters the game for Jonas Valančiūnas.,57-58
3,07:30,NYK,2PT Made,Julius Randle,,Julius Randle makes a driving layup.,59-58
3,07:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a hook shot.,59-58
3,07:13,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,59-58
3,07:00,NYK,3PT Made,Quentin Grimes,RJ Barrett,Quentin Grimes makes a 3-pointer off a pass from RJ Barrett.,62-58
3,06:45,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a fadeaway jumper.,62-60
3,06:30,NYK,2PT Missed,Julius Randle,,Julius Randle misses a layup.,62-60
3,06:28,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,62-60
3,06:15,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the wing.,62-63
3,06:00,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a mid-range jumper.,64-63
3,05:45,NOP,Turnover,Brandon Ingram,,Brandon Ingram turns the ball over on an offensive foul.,64-63
3,05:30,NYK,3PT Missed,Quentin Grimes,,Quentin Grimes misses a 3-pointer from the corner.,64-63
3,05:28,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,64-63
3,05:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a dunk.,64-63
3,05:13,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,64-63
3,05:00,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a driving layup.,66-63
3,04:45,NOP,2PT Made,CJ McCollum,,CJ McCollum makes a mid-range jumper.,66-65
3,04:30,NYK,Timeout,,,New York Knicks call a timeout.,66-65
3,04:30,NYK,Substitution,Jalen Brunson,Quentin Grimes,Jalen Brunson enters the game for Quentin Grimes.,66-65
3,04:30,NYK,Substitution,Obi Toppin,Mitchell Robinson,Obi Toppin enters the game for Mitchell Robinson.,66-65
3,04:30,NOP,Substitution,Naji Marshall,Herbert Jones,Naji Marshall enters the game for Herbert Jones.,66-65
3,04:15,NYK,2PT Made,Julius Randle,,Julius Randle makes a hook shot.,68-65
3,04:00,NOP,2PT Missed,Brandon Ingram,,Brandon Ingram misses a turnaround jumper.,68-65
3,03:58,NYK,Defensive Rebound,Obi Toppin,,Obi Toppin grabs the defensive rebound.,68-65
3,03:45,NYK,3PT Made,Jalen Brunson,,Jalen Brunson makes a 3-pointer off the dribble.,71-65
3,03:30,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup.,71-67
3,03:15,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a mid-range jumper.,71-67
3,03:13,NOP,Defensive Rebound,Larry Nance Jr.,,Larry Nance Jr. grabs the defensive rebound.,71-67
3,03:00,NOP,3PT Missed,CJ McCollum,,CJ McCollum misses a 3-pointer from the top of the key.,71-67
3,02:58,NYK,Defensive Rebound,Obi Toppin,,Obi Toppin grabs the defensive rebound.,71-67
3,02:45,NYK,2PT Made,Julius Randle,,Julius Randle makes a layup.,73-67
3,02:30,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a fadeaway jumper.,73-69
3,02:15,NYK,Turnover,Jalen Brunson,,Jalen Brunson turns the ball over on a lost ball.,73-69
3,02:00,NOP,3PT Missed,Naji Marshall,,Naji Marshall misses a 3-pointer from the wing.,73-69
3,01:58,NYK,Defensive Rebound,RJ Barrett,,RJ Barrett grabs the defensive rebound.,73-69
3,01:45,NYK,2PT Made,Obi Toppin,Jalen Brunson,Obi Toppin makes a dunk off a pass from Jalen Brunson.,75-69
3,01:30,NOP,Timeout,,,New Orleans Pelicans call a timeout.,75-69
3,01:30,NOP,Substitution,Jonas Valančiūnas,Larry Nance Jr.,Jonas Valančiūnas enters the game for Larry Nance Jr.,75-69
3,01:30,NOP,Substitution,Jose Alvarado,Naji Marshall,Jose Alvarado enters the game for Naji Marshall.,75-69
3,01:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a hook shot.,75-69
3,01:13,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,75-69
3,01:00,NYK,3PT Missed,RJ Barrett,,RJ Barrett misses a 3-pointer from the corner.,75-69
3,00:58,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,75-69
3,00:45,NOP,2PT Made,Brandon Ingram,,Brandon Ingram makes a mid-range jumper.,75-71
3,00:30,NYK,3PT Made,Jalen Brunson,,Jalen Brunson makes a step-back 3-pointer.,78-71
3,00:15,NOP,2PT Missed,CJ McCollum,,CJ McCollum misses a driving layup.,78-71
3,00:13,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,78-71
3,00:05,NYK,2PT Made,RJ Barrett,,RJ Barrett makes a layup at the buzzer.,80-71
3,00:00,NYK,End of Period,,,End of the third quarter.,80-71


4,12:00,NYK,Substitution,Immanuel Quickley,Jalen Brunson,Immanuel Quickley enters the game for Jalen Brunson.,80-71
4,12:00,NYK,Substitution,Josh Hart,RJ Barrett,Josh Hart enters the game for RJ Barrett.,80-71
4,12:00,NOP,Substitution,Trey Murphy III,Brandon Ingram,Trey Murphy III enters the game for Brandon Ingram.,80-71
4,11:45,NYK,2PT Missed,Julius Randle,,Julius Randle misses a hook shot.,80-71
4,11:43,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,80-71
4,11:30,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the wing.,80-74
4,11:15,NYK,2PT Made,Obi Toppin,,Obi Toppin makes a dunk.,82-74
4,11:00,NOP,Turnover,Zion Williamson,,Zion Williamson turns the ball over on a lost ball.,82-74
4,10:45,NYK,3PT Missed,Immanuel Quickley,,Immanuel Quickley misses a 3-pointer from the top of the key.,82-74
4,10:43,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,82-74
4,10:30,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a layup.,82-76
4,10:15,NYK,2PT Missed,Josh Hart,,Josh Hart misses a mid-range jumper.,82-76
4,10:13,NOP,Defensive Rebound,Trey Murphy III,,Trey Murphy III grabs the defensive rebound.,82-76
4,10:00,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer off the dribble.,82-79
4,09:45,NYK,Timeout,,,New York Knicks call a timeout.,82-79
4,09:45,NYK,Substitution,RJ Barrett,Josh Hart,RJ Barrett enters the game for Josh Hart.,82-79
4,09:45,NYK,Substitution,Mitchell Robinson,Obi Toppin,Mitchell Robinson enters the game for Obi Toppin.,82-79
4,09:30,NYK,2PT Made,Julius Randle,,Julius Randle makes a turnaround jumper.,84-79
4,09:15,NOP,2PT Missed,Zion Williamson,,Zion Williamson misses a hook shot.,84-79
4,09:13,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,84-79
4,09:00,NYK,3PT Made,Immanuel Quickley,Julius Randle,Immanuel Quickley makes a 3-pointer off a pass from Julius Randle.,87-79
4,08:45,NOP,2PT Made,CJ McCollum,,CJ McCollum makes a mid-range jumper.,87-81
4,08:30,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a driving layup.,87-81
4,08:28,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,87-81
4,08:15,NOP,3PT Missed,Trey Murphy III,,Trey Murphy III misses a 3-pointer from the corner.,87-81
4,08:13,NYK,Defensive Rebound,Julius Randle,,Julius Randle grabs the defensive rebound.,87-81
4,08:00,NYK,2PT Made,Immanuel Quickley,,Immanuel Quickley makes a floater in the lane.,89-81
4,07:45,NOP,2PT Missed,Jose Alvarado,,Jose Alvarado misses a layup.,89-81
4,07:43,NYK,Defensive Rebound,Mitchell Robinson,,Mitchell Robinson grabs the defensive rebound.,89-81
4,07:30,NYK,Turnover,Julius Randle,,Julius Randle turns the ball over on an offensive foul.,89-81
4,07:15,NOP,3PT Made,CJ McCollum,,CJ McCollum makes a 3-pointer from the wing.,89-84
4,07:00,NYK,2PT Missed,RJ Barrett,,RJ Barrett misses a mid-range jumper.,89-84
4,06:58,NOP,Defensive Rebound,Jonas Valančiūnas,,Jonas Valančiūnas grabs the defensive rebound.,89-84
4,06:45,NOP,2PT Made,Zion Williamson,,Zion Williamson makes a dunk.,89-86
4,06:30,NYK,Timeout,,,New York Knicks call a timeout.,89-86
