,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
26,3POINT.ASSIST,1,7:56,Wiggins 24' 3PT Jump Shot (3 PTS)Wiggins 24' 3PT Jump Shot (3 PTS)Wiggins 24' 3PT Jump Shot (3 PTS),11 - 12,1,Andrew Wiggins,GSW,,,,
27,FOUL,1,7:48,Looney P.FOUL (P1.T3)Looney P.FOUL (P1.T3)Looney P.FOUL (P1.T3),11 - 12,1,Kevon Looney,GSW,Chet Holmgren,OKC,,
28,STEAL.TURNOVER,1,7:39,Holmgren Lost Ball Turnover (P1.T2)Holmgren Lost Ball Turnover (P1.T2)Holmgren Lost Ball Turnover (P1.T2),11 - 12,1,Chet Holmgren,OKC,,,,
29,STEAL.TURNOVER,1,7:38,Thompson STEAL (1 STL)Thompson STEAL (1 STL)Thompson STEAL (1 STL),11 - 12,1,Klay Thompson,GSW,,,,
30,3POINT.ASSIST,1,7:33,Thompson 29' 3PT Pullup Jump Shot (6 PTS)Thompson 29' 3PT Pullup Jump Shot (6 PTS)Thompson 29' 3PT Pullup Jump Shot (6 PTS),11 - 15,4,Klay Thompson,GSW,,,,
31,FOUL,1,7:22,Thompson P.FOUL (P1.T4)Thompson P.FOUL (P1.T4)Thompson P.FOUL (P1.T4),11 - 15,4,Klay Thompson,GSW,Shai Gilgeous-Alexander,OKC,,
32,FTMISS,1,7:22,MISS Gilgeous-Alexander Free Throw 1 of 2MISS Gilgeous-Alexander Free Throw 1 of 2MISS Gilgeous-Alexander Free Throw 1 of 2,11 - 15,4,Shai Gilgeous-Alexander,OKC,,,,
33,SUB,1,7:22,SUB: Wiseman FOR LooneySUB: Wiseman FOR LooneySUB: Wiseman FOR Looney,11 - 15,4,Kevon Looney,GSW,James Wiseman,GSW,,
34,SUB,1,7:22,SUB: Lamb FOR ThompsonSUB: Lamb FOR ThompsonSUB: Lamb FOR Thompson,11 - 15,4,Klay Thompson,GSW,Anthony Lamb,GSW,,
35,REBOUND,1,7:22,THUNDER ReboundTHUNDER ReboundTHUNDER Rebound,11 - 15,4,,,,,,
36,FTMISS,1,7:22,MISS Gilgeous-Alexander Free Throw 2 of 2MISS Gilgeous-Alexander Free Throw 2 of 2MISS Gilgeous-Alexander Free Throw 2 of 2,11 - 15,4,Shai Gilgeous-Alexander,OKC,,,,
37,REBOUND,1,7:22,Curry REBOUND (Off:0 Def:1)Curry REBOUND (Off:0 Def:1)Curry REBOUND (Off:0 Def:1),11 - 15,4,Stephen Curry,GSW,,,,
38,3POINT.ASSIST,1,7:07,Curry 26' 3PT Step Back Jump Shot (7 PTS)Curry 26' 3PT Step Back Jump Shot (7 PTS)Curry 26' 3PT Step Back Jump Shot (7 PTS),11 - 18,7,Stephen Curry,GSW,,,,
39,FOUL,1,6:53,Lamb P.FOUL (P1.T5)Lamb P.FOUL (P1.T5)Lamb P.FOUL (P1.T5),11 - 18,7,Anthony Lamb,GSW,Chet Holmgren,OKC,,
40,2POINTMISS.BLOCK,1,6:40,MISS Gilgeous-Alexander 10' Driving Floating Jump ShotMISS Gilgeous-Alexander 10' Driving Floating Jump ShotMISS Gilgeous-Alexander 10' Driving Floating Jump Shot,11 - 18,7,Shai Gilgeous-Alexander,OKC,,,,
41,REBOUND,1,6:37,Wiseman REBOUND (Off:0 Def:1)Wiseman REBOUND (Off:0 Def:1)Wiseman REBOUND (Off:0 Def:1),11 - 18,7,James Wiseman,GSW,,,,
42,2POINTMISS.BLOCK,1,6:28,MISS Curry 5' Driving LayupMISS Curry 5' Driving LayupMISS Curry 5' Driving Layup,11 - 18,7,Stephen Curry,GSW,,,,
43,REBOUND,1,6:26,Holmgren REBOUND (Off:0 Def:1)Holmgren REBOUND (Off:0 Def:1)Holmgren REBOUND (Off:0 Def:1),11 - 18,7,Chet Holmgren,OKC,,,,
44,2POINTMISS.BLOCK,1,6:13,MISS Jerome 23' Pullup Jump ShotMISS Jerome 23' Pullup Jump ShotMISS Jerome 23' Pullup Jump Shot,11 - 18,7,Ty Jerome,OKC,,,,
45,REBOUND,1,6:10,Green REBOUND (Off:0 Def:2)Green REBOUND (Off:0 Def:2)Green REBOUND (Off:0 Def:2),11 - 18,7,Draymond Green,GSW,,,,
46,SUB,1,6:05,SUB: J. Green FOR HolmgrenSUB: J. Green FOR HolmgrenSUB: J. Green FOR Holmgren,11 - 18,7,Chet Holmgren,OKC,JaMychal Green,OKC,,
47,SUB,1,6:05,SUB: Sarr FOR Robinson-EarlSUB: Sarr FOR Robinson-EarlSUB: Sarr FOR Robinson-Earl,11 - 18,7,Jeremiah Robinson-Earl,OKC,Olivier Sarr,OKC,,
48,STEAL.TURNOVER,1,5:54,Curry Step Out of Bounds Turnover Turnover (P2.T2)Curry Step Out of Bounds Turnover Turnover (P2.T2)Curry Step Out of Bounds Turnover Turnover (P2.T2),11 - 18,7,Stephen Curry,GSW,,,,
49,3POINT.ASSIST,1,5:38,Gilgeous-Alexander 26' 3PT Step Back Jump Shot (7 PTS)Gilgeous-Alexander 26' 3PT Step Back Jump Shot (7 PTS)Gilgeous-Alexander 26' 3PT Step Back Jump Shot (7 PTS),14 - 18,4,Shai Gilgeous-Alexander,OKC,,,,
50,3POINTMISS.BLOCK,1,5:19,MISS Lamb 27' 3PT Jump ShotMISS Lamb 27' 3PT Jump ShotMISS Lamb 27' 3PT Jump Shot,14 - 18,4,Anthony Lamb,GSW,,,,
51,REBOUND,1,5:16,Diallo REBOUND (Off:0 Def:1)Diallo REBOUND (Off:0 Def:1)Diallo REBOUND (Off:0 Def:1),14 - 18,4,Hamidou Diallo,OKC,,,,
52,2POINTMISS.BLOCK,1,5:07,MISS J. Green 8' Hook ShotMISS J. Green 8' Hook ShotMISS J. Green 8' Hook Shot,14 - 18,4,JaMychal Green,OKC,,,,
53,REBOUND,1,5:05,Wiseman REBOUND (Off:0 Def:2)Wiseman REBOUND (Off:0 Def:2)Wiseman REBOUND (Off:0 Def:2),14 - 18,4,James Wiseman,GSW,,,,
54,2POINT.ASSIST,1,4:56,Wiseman 13' Turnaround Jump Shot (2 PTS)Wiseman 13' Turnaround Jump Shot (2 PTS)Wiseman 13' Turnaround Jump Shot (2 PTS),14 - 20,6,James Wiseman,GSW,,,,
55,2POINT.ASSIST,1,4:40,Gilgeous-Alexander 2' Driving Reverse Layup (9 PTS)Gilgeous-Alexander 2' Driving Reverse Layup (9 PTS)Gilgeous-Alexander 2' Driving Reverse Layup (9 PTS),16 - 20,4,Shai Gilgeous-Alexander,OKC,,,,
56,SUB,1,4:34,SUB: Dort FOR Jal. WilliamsSUB: Dort FOR Jal. WilliamsSUB: Dort FOR Jal. Williams,16 - 20,4,Jalen Williams,OKC,Luguentz Dort,OKC,,
57,SUB,1,4:34,SUB: Bazley FOR Gilgeous-AlexanderSUB: Bazley FOR Gilgeous-AlexanderSUB: Bazley FOR Gilgeous-Alexander,16 - 20,4,Shai Gilgeous-Alexander,OKC,Darius Bazley,OKC,,
58,SUB,1,4:34,SUB: Kuminga FOR WigginsSUB: Kuminga FOR WigginsSUB: Kuminga FOR Wiggins,16 - 20,4,Andrew Wiggins,GSW,Jonathan Kuminga,GSW,,
59,SUB,1,4:34,SUB: Poole FOR CurrySUB: Poole FOR CurrySUB: Poole FOR Curry,16 - 20,4,Stephen Curry,GSW,Jordan Poole,GSW,,
60,2POINTMISS.BLOCK,1,4:19,MISS Kuminga 13' Fadeaway JumperMISS Kuminga 13' Fadeaway JumperMISS Kuminga 13' Fadeaway Jumper,16 - 20,4,Jonathan Kuminga,GSW,,,,
61,REBOUND,1,4:16,Sarr REBOUND (Off:0 Def:1)Sarr REBOUND (Off:0 Def:1)Sarr REBOUND (Off:0 Def:1),16 - 20,4,Olivier Sarr,OKC,,,,
62,3POINT.ASSIST,1,4:04,Jerome 25' 3PT Jump Shot (3 PTS)Jerome 25' 3PT Jump Shot (3 PTS)Jerome 25' 3PT Jump Shot (3 PTS),19 - 20,1,Ty Jerome,OKC,,,,
63,FOUL,1,3:54,Poole S.FOUL (P1.T6)Poole S.FOUL (P1.T6)Poole S.FOUL (P1.T6),19 - 20,1,Jordan Poole,GSW,Luguentz Dort,OKC,,
64,SUB,1,3:54,SUB: Mann FOR JeromeSUB: Mann FOR JeromeSUB: Mann FOR Jerome,19 - 20,1,Ty Jerome,OKC,Tre Mann,OKC,,
65,FTMAKE,1,3:54,Dort Free Throw 1 of 2 (4 PTS)Dort Free Throw 1 of 2 (4 PTS)Dort Free Throw 1 of 2 (4 PTS),20 - 20,TIE,Luguentz Dort,OKC,,,,
66,FTMAKE,1,3:54,Dort Free Throw 2 of 2 (5 PTS)Dort Free Throw 2 of 2 (5 PTS)Dort Free Throw 2 of 2 (5 PTS),21 - 20,-1,Luguentz Dort,OKC,,,,
67,2POINT.ASSIST,1,3:40,Poole 5' Driving Floating Jump Shot (2 PTS)Poole 5' Driving Floating Jump Shot (2 PTS)Poole 5' Driving Floating Jump Shot (2 PTS),21 - 22,1,Jordan Poole,GSW,,,,
68,STEAL.TURNOVER,1,3:27,Diallo Bad Pass Turnover (P1.T3)Diallo Bad Pass Turnover (P1.T3)Diallo Bad Pass Turnover (P1.T3),21 - 22,1,Hamidou Diallo,OKC,,,,
69,STEAL.TURNOVER,1,3:26,Poole STEAL (1 STL)Poole STEAL (1 STL)Poole STEAL (1 STL),21 - 22,1,Jordan Poole,GSW,,,,
70,SUB,1,3:24,SUB: Moody FOR PooleSUB: Moody FOR PooleSUB: Moody FOR Poole,21 - 22,1,Jordan Poole,GSW,Moses Moody,GSW,,
71,2POINT.ASSIST,1,3:18,Kuminga 2' Driving Layup (2 PTS)Kuminga 2' Driving Layup (2 PTS)Kuminga 2' Driving Layup (2 PTS),21 - 24,3,Jonathan Kuminga,GSW,,,,
72,2POINT.ASSIST,1,3:01,Mann 20' Pullup Jump Shot (2 PTS)Mann 20' Pullup Jump Shot (2 PTS)Mann 20' Pullup Jump Shot (2 PTS),23 - 24,1,Tre Mann,OKC,,,,
73,2POINTMISS.BLOCK,1,2:42,MISS Green 10' Fadeaway JumperMISS Green 10' Fadeaway JumperMISS Green 10' Fadeaway Jumper,23 - 24,1,Draymond Green,GSW,,,,
74,REBOUND,1,2:40,Mann REBOUND (Off:0 Def:1)Mann REBOUND (Off:0 Def:1)Mann REBOUND (Off:0 Def:1),23 - 24,1,Tre Mann,OKC,,,,
75,2POINT.ASSIST,1,2:34,Sarr 15' Jump Shot (2 PTS)Sarr 15' Jump Shot (2 PTS)Sarr 15' Jump Shot (2 PTS),25 - 24,-1,Olivier Sarr,OKC,,,,
76,FOUL,1,2:15,Mann P.FOUL (P1.T1)Mann P.FOUL (P1.T1)Mann P.FOUL (P1.T1),25 - 24,-1,Tre Mann,OKC,Moses Moody,GSW,,
77,FTMAKE,1,2:15,Moody Free Throw 1 of 2 (1 PTS)Moody Free Throw 1 of 2 (1 PTS)Moody Free Throw 1 of 2 (1 PTS),25 - 25,TIE,Moses Moody,GSW,,,,
78,FTMAKE,1,2:15,Moody Free Throw 2 of 2 (2 PTS)Moody Free Throw 2 of 2 (2 PTS)Moody Free Throw 2 of 2 (2 PTS),25 -26,1,Moses Moody,GSW,,,,
79,2POINT.ASSIST,1,2:04,Dort 3' Driving Layup (7 PTS)Dort 3' Driving Layup (7 PTS)Dort 3' Driving Layup (7 PTS),27 - 26,-1,Luguentz Dort,OKC,,,,
80,2POINT.ASSIST,1,1:49,Wiseman 2' Alley Oop Dunk (4 PTS)Wiseman 2' Alley Oop Dunk (4 PTS)Wiseman 2' Alley Oop Dunk (4 PTS),27 - 28,1,James Wiseman,GSW,,,,
81,3POINTMISS.BLOCK,1,1:32,MISS Bazley 27' 3PT Jump ShotMISS Bazley 27' 3PT Jump ShotMISS Bazley 27' 3PT Jump Shot,27 - 28,1,Darius Bazley,OKC,,,,
82,REBOUND,1,1:29,Wiseman REBOUND (Off:0 Def:3)Wiseman REBOUND (Off:0 Def:3)Wiseman REBOUND (Off:0 Def:3),27 - 28,1,James Wiseman,GSW,,,,
83,2POINT.ASSIST,1,1:19,Wiseman 1' Dunk (6 PTS)Wiseman 1' Dunk (6 PTS)Wiseman 1' Dunk (6 PTS),27 - 30,3,James Wiseman,GSW,,,,
84,STEAL.TURNOVER,1,1:06,Diallo Lost Ball Turnover (P2.T4)Diallo Lost Ball Turnover (P2.T4)Diallo Lost Ball Turnover (P2.T4),27 - 30,3,Hamidou Diallo,OKC,,,,
85,STEAL.TURNOVER,1,1:05,Lamb STEAL (1 STL)Lamb STEAL (1 STL)Lamb STEAL (1 STL),27 - 30,3,Anthony Lamb,GSW,,,,
86,2POINT.ASSIST,1,1:01,Kuminga 1' Putback Layup (4 PTS)Kuminga 1' Putback Layup (4 PTS)Kuminga 1' Putback Layup (4 PTS),27 - 32,5,Jonathan Kuminga,GSW,,,,
87,2POINT.ASSIST,1,0:47,Dort 1' Driving Layup (9 PTS)Dort 1' Driving Layup (9 PTS)Dort 1' Driving Layup (9 PTS),29 - 32,3,Luguentz Dort,OKC,,,,
88,FOUL,1,0:32,Diallo S.FOUL (P1.T2)Diallo S.FOUL (P1.T2)Diallo S.FOUL (P1.T2),29 - 32,3,Hamidou Diallo,OKC,Anthony Lamb,GSW,,
89,FTMAKE,1,0:32,Lamb Free Throw 1 of 2 (1 PTS)Lamb Free Throw 1 of 2 (1 PTS)Lamb Free Throw 1 of 2 (1 PTS),29 - 33,4,Anthony Lamb,GSW,,,,
90,FTMAKE,1,0:32,Lamb Free Throw 2 of 2 (2 PTS)Lamb Free Throw 2 of 2 (2 PTS)Lamb Free Throw 2 of 2 (2 PTS),29 - 34,5,Anthony Lamb,GSW,,,,
91,3POINTMISS.BLOCK,1,0:18,MISS Mann 25' 3PT Jump ShotMISS Mann 25' 3PT Jump ShotMISS Mann 25' 3PT Jump Shot,29 - 34,5,Tre Mann,OKC,,,,
92,REBOUND,1,0:15,J. Green REBOUND (Off:1 Def:0)J. Green REBOUND (Off:1 Def:0)J. Green REBOUND (Off:1 Def:0),29 - 34,5,JaMychal Green,OKC,,,,
93,2POINT.ASSIST,1,0:14,J. Green 1' Putback Layup (2 PTS)J. Green 1' Putback Layup (2 PTS)J. Green 1' Putback Layup (2 PTS),31 - 34,3,JaMychal Green,OKC,,,,
94,STEAL.TURNOVER,1,0:03,Green Lost Ball Turnover (P1.T3)Green Lost Ball Turnover (P1.T3)Green Lost Ball Turnover (P1.T3),31 - 34,3,Draymond Green,GSW,,,,
95,STEAL.TURNOVER,1,0:02,Dort STEAL (2 STL)Dort STEAL (2 STL)Dort STEAL (2 STL),31 - 34,3,Luguentz Dort,OKC,,,,
96,3POINTMISS.BLOCK,1,0:00,MISS Mann 35' 3PT Jump ShotMISS Mann 35' 3PT Jump ShotMISS Mann 35' 3PT Jump Shot,31 - 34,3,Tre Mann,OKC,,,,
97,REBOUND,1,0:00,Warriors ReboundWarriors ReboundWarriors Rebound,31 - 34,3,,,,,,
98,2POINT.ASSIST,2,11:45,Wiseman 2' Layup (8 PTS)Wiseman 2' Layup (8 PTS)Wiseman 2' Layup (8 PTS),31 - 36,5,James Wiseman,GSW,,,,
99,3POINTMISS.BLOCK,2,11:29,MISS Gilgeous-Alexander 26' 3PT Jump ShotMISS Gilgeous-Alexander 26' 3PT Jump ShotMISS Gilgeous-Alexander 26' 3PT Jump Shot,31 - 36,5,Shai Gilgeous-Alexander,OKC,,,,
100,REBOUND,2,11:26,Wiseman REBOUND (Off:0 Def:4)Wiseman REBOUND (Off:0 Def:4)Wiseman REBOUND (Off:0 Def:4),31 - 36,5,James Wiseman,GSW,,,,
101,3POINT.ASSIST,2,11:20,Poole 25' 3PT Jump Shot (5 PTS)Poole 25' 3PT Jump Shot (5 PTS)Poole 25' 3PT Jump Shot (5 PTS),31 - 39,8,Jordan Poole,GSW,,,,
102,2POINT.ASSIST,2,11:02,Giddey 4' Driving Layup (4 PTS)Giddey 4' Driving Layup (4 PTS)Giddey 4' Driving Layup (4 PTS),33 - 39,6,Josh Giddey,OKC,,,,
103,FOUL,2,10:46,Holmgren S.FOUL (P1.T3)Holmgren S.FOUL (P1.T3)Holmgren S.FOUL (P1.T3),33 - 39,6,Chet Holmgren,OKC,Jordan Poole,GSW,,
104,FTMAKE,2,10:46,Poole Free Throw 1 of 2 (6 PTS)Poole Free Throw 1 of 2 (6 PTS)Poole Free Throw 1 of 2 (6 PTS),33 - 40,7,Jordan Poole,GSW,,,,
105,FTMAKE,2,10:46,Poole Free Throw 2 of 2 (7 PTS)Poole Free Throw 2 of 2 (7 PTS)Poole Free Throw 2 of 2 (7 PTS),33 - 41,8,Jordan Poole,GSW,,,,
106,SUB,2,10:46,SUB: J. Green FOR HolmgrenSUB: J. Green FOR HolmgrenSUB: J. Green FOR Holmgren,33 - 41,8,Chet Holmgren,OKC,JaMychal Green,OKC,,
107,SUB,2,10:46,SUB: Sarr FOR Robinson-EarlSUB: Sarr FOR Robinson-EarlSUB: Sarr FOR Robinson-Earl,33 - 41,8,Jeremiah Robinson-Earl,OKC,Olivier Sarr,OKC,,
108,SUB,2,10:46,SUB: Kuminga FOR WigginsSUB: Kuminga FOR WigginsSUB: Kuminga FOR Wiggins,33 - 41,8,Andrew Wiggins,GSW,Jonathan Kuminga,GSW,,
109,SUB,2,10:46,SUB: Moody FOR ThompsonSUB: Moody FOR ThompsonSUB: Moody FOR Thompson,33 - 41,8,Klay Thompson,GSW,Moses Moody,GSW,,
110,2POINTMISS.BLOCK,2,10:31,MISS Gilgeous-Alexander 6' Driving Floating Jump ShotMISS Gilgeous-Alexander 6' Driving Floating Jump ShotMISS Gilgeous-Alexander 6' Driving Floating Jump Shot,33 - 41,8,Shai Gilgeous-Alexander,OKC,,,,
111,REBOUND,2,10:29,Wiseman REBOUND (Off:0 Def:5)Wiseman REBOUND (Off:0 Def:5)Wiseman REBOUND (Off:0 Def:5),33 - 41,8,James Wiseman,GSW,,,,
112,STEAL.TURNOVER,2,10:20,Wiseman Lost Ball Turnover (P1.T4)Wiseman Lost Ball Turnover (P1.T4)Wiseman Lost Ball Turnover (P1.T4),33 - 41,8,James Wiseman,GSW,,,,
113,STEAL.TURNOVER,2,10:19,Giddey STEAL (1 STL)Giddey STEAL (1 STL)Giddey STEAL (1 STL),33 - 41,8,Josh Giddey,OKC,,,,
114,3POINTMISS.BLOCK,2,10:12,MISS Dort 29' 3PT Pullup Jump ShotMISS Dort 29' 3PT Pullup Jump ShotMISS Dort 29' 3PT Pullup Jump Shot,33 - 41,8,Luguentz Dort,OKC,,,,
115,REBOUND,2,10:09,Poole REBOUND (Off:0 Def:1)Poole REBOUND (Off:0 Def:1)Poole REBOUND (Off:0 Def:1),33 - 41,8,Jordan Poole,GSW,,,,
116,3POINT.ASSIST,2,10:02,Moody 27' 3PT Jump Shot (5 PTS)Moody 27' 3PT Jump Shot (5 PTS)Moody 27' 3PT Jump Shot (5 PTS),33 - 44,11,Moses Moody,GSW,,,,
117,FOUL,2,9:46,Wiseman P.FOUL (P1.T1)Wiseman P.FOUL (P1.T1)Wiseman P.FOUL (P1.T1),33 - 44,11,James Wiseman,GSW,Shai Gilgeous-Alexander,OKC,,
118,SUB,2,9:46,SUB: Joe FOR WallaceSUB: Joe FOR WallaceSUB: Joe FOR Wallace,33 - 44,11,Cason Wallace,OKC,Isaiah Joe,OKC,,
119,2POINTMISS.BLOCK,2,9:36,MISS Giddey 5' Driving LayupMISS Giddey 5' Driving LayupMISS Giddey 5' Driving Layup,33 - 44,11,Josh Giddey,OKC,,,,
120,REBOUND,2,9:33,Green REBOUND (Off:0 Def:3)Green REBOUND (Off:0 Def:3)Green REBOUND (Off:0 Def:3),33 - 44,11,Draymond Green,GSW,,,,
121,2POINT.ASSIST,2,9:21,Poole 6' Driving Floating Jump Shot (9 PTS)Poole 6' Driving Floating Jump Shot (9 PTS)Poole 6' Driving Floating Jump Shot (9 PTS),33 - 46,13,Jordan Poole,GSW,,,,
122,3POINT.ASSIST,2,9:13,Gilgeous-Alexander 25' 3PT Jump Shot (12 PTS)Gilgeous-Alexander 25' 3PT Jump Shot (12 PTS)Gilgeous-Alexander 25' 3PT Jump Shot (12 PTS),36 - 46,10,Shai Gilgeous-Alexander,OKC,,,,
123,STEAL.TURNOVER,2,8:59,Poole Bad Pass Turnover (P1.T5)Poole Bad Pass Turnover (P1.T5)Poole Bad Pass Turnover (P1.T5),36 - 46,10,Jordan Poole,GSW,,,,
124,STEAL.TURNOVER,2,8:58,Dort STEAL (3 STL)Dort STEAL (3 STL)Dort STEAL (3 STL),36 - 46,10,Luguentz Dort,OKC,,,,
125,2POINT.ASSIST,2,8:56,Dort 3' Running Layup (11 PTS)Dort 3' Running Layup (11 PTS)Dort 3' Running Layup (11 PTS),38 - 46,8,Luguentz Dort,OKC,,,,
126,2POINT.ASSIST,2,8:40,Kuminga 17' Pullup Jump Shot (6 PTS)Kuminga 17' Pullup Jump Shot (6 PTS)Kuminga 17' Pullup Jump Shot (6 PTS),38 - 48,10,Jonathan Kuminga,GSW,,,,
127,3POINTMISS.BLOCK,2,8:21,MISS J. Green 26' 3PT Jump ShotMISS J. Green 26' 3PT Jump ShotMISS J. Green 26' 3PT Jump Shot,38 - 48,10,JaMychal Green,OKC,,,,
128,REBOUND,2,8:18,Poole REBOUND (Off:0 Def:2)Poole REBOUND (Off:0 Def:2)Poole REBOUND (Off:0 Def:2),38 - 48,10,Jordan Poole,GSW,,,,
129,FOUL,2,8:14,Sarr S.FOUL (P1.T4)Sarr S.FOUL (P1.T4)Sarr S.FOUL (P1.T4),38 - 48,10,Olivier Sarr,OKC,Jordan Poole,GSW,,
