,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
63,SUB,1,4:26,SUB: Muscala FOR Jay. Williams,17 - 16,-1,Jaylin Williams,OKC,Mike Muscala,OKC,,
64,2POINT,1,4:20,Gilgeous-Alexander 11' Fadeaway Jumper (11 PTS),17 - 18,1,Shai Gilgeous-Alexander,OKC,,,,
65,3POINTMISS,1,4:06,MISS LeVert 27' 3PT Jump Shot,17 - 18,1,Caris LeVert,CLE,,,,
66,REBOUND,1,4:01,Giddey REBOUND (Off:0 Def:1),17 - 18,1,Josh Giddey,OKC,,,,
67,2POINT,1,3:55,Giddey 4' Running Pull-Up Jump Shot (2 PTS),17 - 20,3,Josh Giddey,OKC,,,,
68,2POINT.ASSIST,1,3:39,Neto 14' Fadeaway Jumper (2 PTS) (LeVert 4 AST),19 - 20,1,Raul Neto,CLE,Caris LeVert,CLE,,
69,2POINTMISS.BLOCK,1,3:25,MISS Giddey 3' Driving LayupOkoro BLOCK (2 BLK),19 - 20,1,Josh Giddey,OKC,,,Isaac Okoro,CLE
70,REBOUND,1,3:21,Gilgeous-Alexander REBOUND (Off:2 Def:0),19 - 20,1,Shai Gilgeous-Alexander,OKC,,,,
71,2POINTMISS,1,3:21,MISS Gilgeous-Alexander 1' Putback Layup,19 - 20,1,Shai Gilgeous-Alexander,OKC,,,,
72,REBOUND,1,3:21,Neto REBOUND (Off:0 Def:1),19 - 20,1,Raul Neto,CLE,,,,
73,STEAL.TURNOVER,1,3:09,Wiggins STEAL (1 STL)Neto Bad Pass Turnover (P1.T2),19 - 20,1,Raul Neto,CLE,Aaron Wiggins,OKC,,
74,FOUL,1,3:05,Okoro S.FOUL (P1.T3) (D.Collins),19 - 20,1,Isaac Okoro,CLE,Shai Gilgeous-Alexander,OKC,,
75,FTMAKE,1,3:05,Gilgeous-Alexander Free Throw 1 of 2 (12 PTS),19 - 21,2,Shai Gilgeous-Alexander,OKC,,,,
76,SUB,1,3:05,SUB: Dieng FOR Giddey,19 - 21,2,Josh Giddey,OKC,Ousmane Dieng,OKC,,
77,SUB,1,3:05,SUB: Jal. Williams FOR Wiggins,19 - 21,2,Aaron Wiggins,OKC,Jalen Williams,OKC,,
78,SUB,1,3:05,SUB: Mobley FOR LeVert,19 - 21,2,Caris LeVert,CLE,Evan Mobley,CLE,,
79,SUB,1,3:05,SUB: Osman FOR Allen,19 - 21,2,Jarrett Allen,CLE,Cedi Osman,CLE,,
80,FTMISS,1,3:05,MISS Gilgeous-Alexander Free Throw 2 of 2,19 - 21,2,Shai Gilgeous-Alexander,OKC,,,,
81,REBOUND,1,3:02,Muscala REBOUND (Off:1 Def:0),19 - 21,2,Mike Muscala,OKC,,,,
82,FOUL,1,3:02,Wade P.FOUL (P2.T4) (K.Lane),19 - 21,2,Dean Wade,CLE,Mike Muscala,OKC,,
83,STEAL.TURNOVER,1,2:59,Joe Bad Pass Turnover (P1.T4)Neto STEAL (1 STL),19 - 21,2,Isaiah Joe,OKC,Raul Neto,CLE,,
84,3POINTMISS,1,2:40,MISS Neto 26' 3PT Jump Shot,19 - 21,2,Raul Neto,CLE,,,,
85,REBOUND,1,2:37,THUNDER Rebound,19 - 21,2,,,,,,
86,FOUL,1,2:30,Osman S.FOUL (P1.PN) (D.Collins),19 - 21,2,Cedi Osman,CLE,Shai Gilgeous-Alexander,OKC,,
87,FTMAKE,1,2:30,Gilgeous-Alexander Free Throw 1 of 2 (13 PTS),19 - 22,3,Shai Gilgeous-Alexander,OKC,,,,
88,FTMAKE,1,2:30,Gilgeous-Alexander Free Throw 2 of 2 (14 PTS),19 - 23,4,Shai Gilgeous-Alexander,OKC,,,,
89,SUB,1,2:30,SUB: Garland FOR Neto,19 - 23,4,Raul Neto,CLE,Darius Garland,CLE,,
90,2POINT.ASSIST,1,2:16,Mobley 1' Cutting Dunk Shot (7 PTS) (Garland 2 AST),21 - 23,2,Evan Mobley,CLE,Darius Garland,CLE,,
91,2POINT,1,2:03,Jal. Williams 5' Driving Floating Jump Shot (2 PTS),21 - 25,4,Jalen Williams,OKC,,,,
92,3POINTMISS,1,1:49,MISS Wade 25' 3PT Jump Shot,21 - 25,4,Dean Wade,CLE,,,,
93,REBOUND,1,1:46,Gilgeous-Alexander REBOUND (Off:2 Def:1),21 - 25,4,Shai Gilgeous-Alexander,OKC,,,,
94,STEAL.TURNOVER,1,1:39,Muscala Bad Pass Turnover (P1.T5)Wade STEAL (1 STL),21 - 25,4,Mike Muscala,OKC,Dean Wade,CLE,,
95,2POINT.ASSIST,1,1:35,Mobley 3' Running Alley Oop Dunk Shot (9 PTS) (Wade 1 AST),23 - 25,2,Evan Mobley,CLE,Dean Wade,CLE,,
96,3POINTMISS,1,1:17,MISS Joe 26' 3PT Jump Shot,23 - 25,2,Isaiah Joe,OKC,,,,
97,REBOUND,1,1:14,Mobley REBOUND (Off:0 Def:2),23 - 25,2,Evan Mobley,CLE,,,,
98,2POINTMISS,1,1:06,MISS Garland 23' Pullup Jump Shot,23 - 25,2,Darius Garland,CLE,,,,
99,REBOUND,1,1:02,Okoro REBOUND (Off:1 Def:0),23 - 25,2,Isaac Okoro,CLE,,,,
100,2POINTMISS,1,0:53,MISS Okoro Layup,23 - 25,2,Isaac Okoro,CLE,,,,
101,REBOUND,1,0:51,Osman REBOUND (Off:1 Def:0),23 - 25,2,Cedi Osman,CLE,,,,
102,2POINT.ASSIST,1,0:47,Okoro 1' Cutting Layup Shot (2 PTS) (Garland 3 AST),25 - 25,TIE,Isaac Okoro,CLE,Darius Garland,CLE,,
103,2POINTMISS,1,0:21,MISS Gilgeous-Alexander 14' Fadeaway Jumper,25 - 25,TIE,Shai Gilgeous-Alexander,OKC,,,,
104,REBOUND,1,0:19,Dieng REBOUND (Off:1 Def:0),25 - 25,TIE,Ousmane Dieng,OKC,,,,
105,FOUL,1,0:13,Okoro S.FOUL (P2.PN) (G.Petraitis),25 - 25,TIE,Isaac Okoro,CLE,Shai Gilgeous-Alexander,OKC,,
106,FTMAKE,1,0:13,Gilgeous-Alexander Free Throw 1 of 2 (15 PTS),25 - 26,1,Shai Gilgeous-Alexander,OKC,,,,
107,SUB,1,0:13,SUB: K. Williams FOR Joe,25 - 26,1,Isaiah Joe,OKC,Kenrich Williams,OKC,,
108,FTMAKE,1,0:13,Gilgeous-Alexander Free Throw 2 of 2 (16 PTS),25 - 27,2,Shai Gilgeous-Alexander,OKC,,,,
109,3POINTMISS,1,0:01,MISS Garland 30' 3PT Pullup Jump Shot,25 - 27,2,Darius Garland,CLE,,,,
110,REBOUND,1,0:00,K. Williams REBOUND (Off:0 Def:1),25 - 27,2,Kenrich Williams,OKC,,,,
111,ENDOFPERIOD,1,0:00,End of 1st Period (8:36 PM EST),25 - 27,2,,,,,,
112,STARTOFPERIOD,2,12:00,Start of 2nd Period (8:39 PM EST),25 - 27,2,,,,,,
113,2POINTMISS,2,11:36,MISS Mann 8' Driving Floating Jump Shot,25 - 27,2,Tre Mann,OKC,,,,
114,REBOUND,2,11:32,Allen REBOUND (Off:1 Def:1),25 - 27,2,Jarrett Allen,CLE,,,,
115,2POINT.ASSIST,2,11:21,Mobley 2' Cutting Layup Shot (11 PTS) (Garland 4 AST),27 - 27,TIE,Evan Mobley,CLE,Darius Garland,CLE,,
116,FOUL,2,11:21,Mann S.FOUL (P1.T1) (K.Lane),27 - 27,TIE,Tre Mann,OKC,Evan Mobley,CLE,,
117,SUB,2,11:21,SUB: Stevens FOR Okoro,27 - 27,TIE,Isaac Okoro,CLE,Lamar Stevens,CLE,,
118,FTMISS,2,11:21,MISS Mobley Free Throw 1 of 1,27 - 27,TIE,Evan Mobley,CLE,,,,
119,REBOUND,2,11:18,Bazley REBOUND (Off:0 Def:1),27 - 27,TIE,Darius Bazley,OKC,,,,
120,2POINT.ASSIST,2,10:56,Bazley 14' Jump Shot (2 PTS) (Dieng 1 AST),27 - 29,2,Darius Bazley,OKC,Ousmane Dieng,OKC,,
121,FOUL,2,10:46,Mann P.FOUL (P2.T2) (K.Lane),27 - 29,2,Tre Mann,OKC,Jarrett Allen,CLE,,
122,3POINTMISS,2,10:32,MISS Garland 26' 3PT Step Back Jump Shot,27 - 29,2,Darius Garland,CLE,,,,
123,REBOUND,2,10:28,K. Williams REBOUND (Off:0 Def:2),27 - 29,2,Kenrich Williams,OKC,,,,
124,3POINTMISS,2,10:22,MISS Mann 26' 3PT Jump Shot,27 - 29,2,Tre Mann,OKC,,,,
125,REBOUND,2,10:22,Stevens REBOUND (Off:0 Def:1),27 - 29,2,Lamar Stevens,CLE,,,,
126,FOUL,2,10:11,Mann P.FOUL (P3.T3) (G.Petraitis),27 - 29,2,Tre Mann,OKC,Evan Mobley,CLE,,
127,FOUL,2,9:58,Dieng P.FOUL (P1.T4) (K.Lane),27 - 29,2,Ousmane Dieng,OKC,Darius Garland,CLE,,
128,3POINTMISS,2,9:51,MISS Osman 3PT Jump Shot,27 - 29,2,Cedi Osman,CLE,,,,
129,REBOUND,2,9:48,Mann REBOUND (Off:0 Def:1),27 - 29,2,Tre Mann,OKC,,,,
130,3POINT.ASSIST,2,9:36,Bazley 27' 3PT Jump Shot (5 PTS) (Mann 1 AST),27 - 32,5,Darius Bazley,OKC,Tre Mann,OKC,,
131,2POINTMISS,2,9:18,MISS Stevens 11' Turnaround Bank Shot,27 - 32,5,Lamar Stevens,CLE,,,,
132,REBOUND,2,9:15,Giddey REBOUND (Off:0 Def:2),27 - 32,5,Josh Giddey,OKC,,,,
133,STEAL.TURNOVER,2,9:10,Giddey Bad Pass Turnover (P2.T6)Garland STEAL (4 STL),27 - 32,5,Josh Giddey,OKC,Darius Garland,CLE,,
134,2POINT.ASSIST,2,9:04,Stevens 2' Cutting Layup Shot (2 PTS) (Garland 5 AST),29 - 32,3,Lamar Stevens,CLE,Darius Garland,CLE,,
135,STEAL.TURNOVER,2,8:48,Giddey Bad Pass Turnover (P3.T7)Stevens STEAL (1 STL),29 - 32,3,Josh Giddey,OKC,Lamar Stevens,CLE,,
136,2POINT,2,8:43,Osman 2' Running Layup (2 PTS),31 - 32,1,Cedi Osman,CLE,,,,
137,2POINTMISS,2,8:19,MISS Giddey 11' Turnaround Jump Shot,31 - 32,1,Josh Giddey,OKC,,,,
138,REBOUND,2,8:14,Allen REBOUND (Off:1 Def:2),31 - 32,1,Jarrett Allen,CLE,,,,
139,2POINT.ASSIST,2,8:01,Stevens 13' Pullup Jump Shot (4 PTS) (Garland 6 AST),33 - 32,-1,Lamar Stevens,CLE,Darius Garland,CLE,,
140,TIMEOUT,2,8:01,THUNDER Timeout: Regular (Full 2 Short 0),33 - 32,-1,,,,,,
141,SUB,2,8:01,SUB: Jal. Williams FOR Giddey,33 - 32,-1,Josh Giddey,OKC,Jalen Williams,OKC,,
142,SUB,2,8:01,SUB: LeVert FOR Garland,33 - 32,-1,Darius Garland,CLE,Caris LeVert,CLE,,
143,SUB,2,8:01,SUB: Neto FOR Osman,33 - 32,-1,Cedi Osman,CLE,Raul Neto,CLE,,
144,3POINTMISS,2,7:44,MISS Mann 25' 3PT Jump Shot,33 - 32,-1,Tre Mann,OKC,,,,
145,REBOUND,2,7:40,Mobley REBOUND (Off:0 Def:3),33 - 32,-1,Evan Mobley,CLE,,,,
146,2POINT.ASSIST,2,7:17,Stevens 1' Cutting Layup Shot (6 PTS) (Mobley 1 AST),35 - 32,-3,Lamar Stevens,CLE,Evan Mobley,CLE,,
147,2POINTMISS,2,6:48,MISS K. Williams 12' Pullup Jump Shot,35 - 32,-3,Kenrich Williams,OKC,,,,
148,REBOUND,2,6:46,Allen REBOUND (Off:1 Def:3),35 - 32,-3,Jarrett Allen,CLE,,,,
149,2POINT.ASSIST,2,6:38,Mobley 2' Cutting Dunk Shot (13 PTS) (LeVert 5 AST),37 - 32,-5,Evan Mobley,CLE,Caris LeVert,CLE,,
150,2POINTMISS,2,6:24,MISS Bazley 4' Driving Finger Roll Layup,37 - 32,-5,Darius Bazley,OKC,,,,
151,REBOUND,2,6:22,Mobley REBOUND (Off:0 Def:4),37 - 32,-5,Evan Mobley,CLE,,,,
152,2POINTMISS,2,6:16,MISS Mobley 7' Driving Layup,37 - 32,-5,Evan Mobley,CLE,,,,
153,REBOUND,2,6:13,Allen REBOUND (Off:2 Def:3),37 - 32,-5,Jarrett Allen,CLE,,,,
154,2POINTMISS,2,6:13,MISS Allen Tip Dunk Shot,37 - 32,-5,Jarrett Allen,CLE,,,,
155,REBOUND,2,6:12,Bazley REBOUND (Off:0 Def:2),37 - 32,-5,Darius Bazley,OKC,,,,
156,TURNOVER,2,6:08,Dieng Traveling Turnover (P1.T8),37 - 32,-5,Ousmane Dieng,OKC,,,,
157,SUB,2,6:08,SUB: Gilgeous-Alexander FOR Dieng,37 - 32,-5,Ousmane Dieng,OKC,Shai Gilgeous-Alexander,OKC,,
158,SUB,2,6:08,SUB: Wiggins FOR Mann,37 - 32,-5,Tre Mann,OKC,Aaron Wiggins,OKC,,
159,SUB,2,6:08,SUB: Wade FOR Mobley,37 - 32,-5,Evan Mobley,CLE,Dean Wade,CLE,,
160,2POINTMISS,2,5:44,MISS Stevens 11' Turnaround Jump Shot,37 - 32,-5,Lamar Stevens,CLE,,,,
161,REBOUND,2,5:40,Wiggins REBOUND (Off:1 Def:3),37 - 32,-5,Aaron Wiggins,OKC,,,,
162,2POINT.ASSIST,2,5:29,Bazley Cutting Dunk Shot (7 PTS) (Gilgeous-Alexander 1 AST),37 - 34,-3,Darius Bazley,OKC,Shai Gilgeous-Alexander,OKC,,
163,3POINT.ASSIST,2,5:13,Neto 24' 3PT Jump Shot (5 PTS) (LeVert 6 AST),40 - 34,-6,Raul Neto,CLE,Caris LeVert,CLE,,
164,2POINT,2,4:51,Wiggins 2' Driving Reverse Layup (6 PTS),40 - 36,-4,Aaron Wiggins,OKC,,,,
165,3POINTMISS,2,4:26,MISS Wade 3PT Jump Shot,40 - 36,-4,Dean Wade,CLE,,,,
166,REBOUND,2,4:23,Wiggins REBOUND (Off:1 Def:4),40 - 36,-4,Aaron Wiggins,OKC,,,,
167,FOUL,2,4:14,Stevens S.FOUL (P1.T1) (G.Petraitis),40 - 36,-4,Lamar Stevens,CLE,Shai Gilgeous-Alexander,OKC,,
168,FTMAKE,2,4:14,Gilgeous-Alexander Free Throw 1 of 2 (17 PTS),40 - 37,-3,Shai Gilgeous-Alexander,OKC,,,,
169,SUB,2,4:14,SUB: Okoro FOR Stevens,40 - 37,-3,Lamar Stevens,CLE,Isaac Okoro,CLE,,
170,FTMAKE,2,4:14,Gilgeous-Alexander Free Throw 2 of 2 (18 PTS),40 - 38,-2,Shai Gilgeous-Alexander,OKC,,,,
171,3POINTMISS,2,4:03,MISS LeVert 25' 3PT Jump Shot,40 - 38,-2,Caris LeVert,CLE,,,,
172,REBOUND,2,4:02,Jal. Williams REBOUND (Off:0 Def:1),40 - 38,-2,Jalen Williams,OKC,,,,
173,2POINT,2,3:55,Jal. Williams 2' Running Layup (4 PTS),40 - 40,TIE,Jalen Williams,OKC,,,,
174,FOUL,2,3:52,K. Williams P.FOUL (P1.PN) (D.Collins),40 - 40,TIE,Kenrich Williams,OKC,Raul Neto,CLE,,
175,FTMAKE,2,3:52,Neto Free Throw 1 of 2 (6 PTS),41 - 40,-1,Raul Neto,CLE,,,,
176,FTMAKE,2,3:52,Neto Free Throw 2 of 2 (7 PTS),42 - 40,-2,Raul Neto,CLE,,,,
177,SUB,2,3:52,SUB: Joe FOR K. Williams,42 - 40,-2,Kenrich Williams,OKC,Isaiah Joe,OKC,,
178,SUB,2,3:52,SUB: Jay. Williams FOR Bazley,42 - 40,-2,Darius Bazley,OKC,Jaylin Williams,OKC,,
179,TURNOVER,2,3:41,Jal. Williams Out of Bounds - Bad Pass Turnover Turnover (P2.T9),42 - 40,-2,Jalen Williams,OKC,,,,
180,3POINTMISS,2,3:23,MISS Okoro 24' 3PT Jump Shot,42 - 40,-2,Isaac Okoro,CLE,,,,
181,REBOUND,2,3:19,Allen REBOUND (Off:3 Def:3),42 - 40,-2,Jarrett Allen,CLE,,,,
182,2POINTMISS,2,3:13,MISS LeVert 10' Driving Floating Jump Shot,42 - 40,-2,Caris LeVert,CLE,,,,
183,REBOUND,2,3:10,LeVert REBOUND (Off:1 Def:1),42 - 40,-2,Caris LeVert,CLE,,,,
184,2POINTMISS,2,3:08,MISS LeVert 11' Floating Jump Shot,42 - 40,-2,Caris LeVert,CLE,,,,
185,REBOUND,2,3:06,Joe REBOUND (Off:0 Def:1),42 - 40,-2,Isaiah Joe,OKC,,,,
186,STEAL.TURNOVER,2,3:05,Joe Bad Pass Turnover (P2.T10)Okoro STEAL (1 STL),42 - 40,-2,Isaiah Joe,OKC,Isaac Okoro,CLE,,
187,2POINT.ASSIST,2,3:00,Allen 2' Running Dunk (8 PTS) (LeVert 7 AST),44 - 40,-4,Jarrett Allen,CLE,Caris LeVert,CLE,,
188,2POINTMISS,2,2:43,MISS Jal. Williams 3' Driving Layup,44 - 40,-4,Jalen Williams,OKC,,,,
189,REBOUND,2,2:43,Jal. Williams REBOUND (Off:1 Def:1),44 - 40,-4,Jalen Williams,OKC,,,,
190,2POINT,2,2:43,Jal. Williams Putback Layup (6 PTS),44 - 42,-2,Jalen Williams,OKC,,,,
191,FOUL,2,2:43,LeVert S.FOUL (P2.T2) (D.Collins),44 - 42,-2,Caris LeVert,CLE,Jalen Williams,OKC,,
192,TIMEOUT,2,2:43,Cavaliers Timeout: Regular (Reg.2 Short 0),44 - 42,-2,,,,,,
193,SUB,2,2:43,SUB: Garland FOR Neto,44 - 42,-2,Raul Neto,CLE,Darius Garland,CLE,,
194,SUB,2,2:43,SUB: Mobley FOR Allen,44 - 42,-2,Jarrett Allen,CLE,Evan Mobley,CLE,,
195,FTMISS,2,2:43,MISS Jal. Williams Free Throw 1 of 1,44 - 42,-2,Jalen Williams,OKC,,,,
196,REBOUND,2,2:38,Garland REBOUND (Off:0 Def:1),44 - 42,-2,Darius Garland,CLE,,,,
197,2POINT,2,2:17,Garland 10' Driving Floating Jump Shot (8 PTS),46 - 42,-4,Darius Garland,CLE,,,,
198,3POINTMISS,2,2:02,MISS Wiggins 24' 3PT Jump Shot,46 - 42,-4,Aaron Wiggins,OKC,,,,
199,REBOUND,2,1:59,Mobley REBOUND (Off:0 Def:5),46 - 42,-4,Evan Mobley,CLE,,,,
200,3POINT.ASSIST,2,1:46,Wade 28' 3PT Jump Shot (3 PTS) (LeVert 8 AST),49 - 42,-7,Dean Wade,CLE,Caris LeVert,CLE,,
201,2POINTMISS,2,1:33,MISS Gilgeous-Alexander 12' Pullup Jump Shot,49 - 42,-7,Shai Gilgeous-Alexander,OKC,,,,
