index ,eventmsgtype     ,period ,pctimestring ,homedescription                                                ,neutraldescription ,visitordescription                                    ,score     ,scoremargin ,player1_name            ,player1_team_abbreviation ,player2_name            ,player2_team_abbreviation ,player3_name     ,player3_team_abbreviation
   26 ,FOUL             ,     1 ,7:23         ,                                                               ,                   ,Dort S.FOUL (P1.T2) (S.Wall)                          ,          ,            ,Luguentz Dort           ,OKC                       ,Andrew Wiggins          ,GSW                       ,                 ,
   27 ,FOUL             ,     1 ,7:12         ,Giddey P.FOUL (P1.T3) (P.Fraher)                               ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,Jordan Poole            ,GSW                       ,                 ,
   28 ,2POINT           ,     1 ,7:04         ,                                                               ,                   ,Poole 12' Driving Floating Jump Shot (5 PTS)          ,10 - 14   ,4           ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
   29 ,3POINTMISS       ,     1 ,6:50         ,MISS Pokusevski 26' 3PT Jump Shot                              ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
   30 ,REBOUND          ,     1 ,6:48         ,                                                               ,                   ,Green REBOUND (Off:0 Def:1)                           ,          ,            ,JaMychal Green          ,GSW                       ,                        ,                          ,                 ,
   31 ,2POINT           ,     1 ,6:39         ,                                                               ,                   ,Wiggins 17' Pullup Jump Shot (2 PTS)                  ,12 - 14   ,2           ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
   32 ,3POINT           ,     1 ,6:21         ,Gilgeous-Alexander 25' 3PT Jump Shot (7 PTS)                   ,                   ,                                                      ,12 - 17   ,5           ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
   33 ,TURNOVER         ,     1 ,6:04         ,                                                               ,                   ,Poole Bad Pass Turnover (P1.T3)                       ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
   34 ,FOUL             ,     1 ,5:53         ,                                                               ,                   ,Wiggins P.FOUL (P1.T1) (M.Lindsay)                    ,          ,            ,Andrew Wiggins          ,GSW                       ,Luguentz Dort           ,OKC                       ,                 ,
   35 ,2POINT           ,     1 ,5:47         ,Mann 10' Driving Floating Bank Jump Shot (2 PTS)               ,                   ,                                                      ,12 - 19   ,7           ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
   36 ,3POINTMISS       ,     1 ,5:31         ,                                                               ,                   ,MISS DiVincenzo 25' 3PT Jump Shot                     ,          ,            ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
   37 ,REBOUND          ,     1 ,5:27         ,Giddey REBOUND (Off:0 Def:2)                                   ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   38 ,2POINT           ,     1 ,5:17         ,Mann 13' Pullup Jump Shot (4 PTS)                              ,                   ,                                                      ,12 - 21   ,9           ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
   39 ,TIMEOUT          ,     1 ,5:16         ,                                                               ,                   ,Warriors Timeout: Regular (Reg.2 Short 0)             ,          ,            ,                        ,                          ,                        ,                          ,                 ,
   40 ,SUB              ,     1 ,5:16         ,SUB: Jerome FOR Gilgeous-Alexander                             ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Ty Jerome               ,OKC                       ,                 ,
   41 ,SUB              ,     1 ,5:16         ,SUB: Bazley FOR Pokusevski                                     ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,Darius Bazley           ,OKC                       ,                 ,
   42 ,2POINT           ,     1 ,5:02         ,                                                               ,                   ,Kuminga 2' Driving Layup (2 PTS)                      ,14 - 21   ,7           ,Jonathan Kuminga        ,GSW                       ,                        ,                          ,                 ,
   43 ,2POINTMISS_BLOCK ,     1 ,4:46         ,MISS Bazley 7' Driving Layup                                   ,                   ,Kuminga BLOCK (1 BLK)                                 ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,Jonathan Kuminga ,GSW
   44 ,REBOUND          ,     1 ,4:44         ,Bazley REBOUND (Off:1 Def:0)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   45 ,2POINT           ,     1 ,4:40         ,Bazley 2' Putback Layup (2 PTS)                                ,                   ,                                                      ,14 - 23   ,9           ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   46 ,TURNOVER         ,     1 ,4:28         ,                                                               ,                   ,DiVincenzo Out of Bounds - Bad Pass Turnover (P2.T4)  ,          ,            ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
   47 ,2POINTMISS       ,     1 ,4:14         ,MISS Mann 17' Pullup Jump Shot                                 ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
   48 ,REBOUND          ,     1 ,4:12         ,                                                               ,                   ,Lamb REBOUND (Off:0 Def:1)                            ,          ,            ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
   49 ,3POINT           ,     1 ,4:01         ,                                                               ,                   ,Lamb 25' 3PT Jump Shot (3 PTS)                        ,17 - 23   ,6           ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
   50 ,3POINTMISS       ,     1 ,3:43         ,MISS Jerome 24' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   51 ,REBOUND          ,     1 ,3:41         ,Bazley REBOUND (Off:2 Def:0)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   52 ,FOUL             ,     1 ,3:41         ,                                                               ,                   ,Kuminga S.FOUL (P1.T2) (M.Lindsay)                    ,          ,            ,Jonathan Kuminga        ,GSW                       ,Ty Jerome               ,OKC                       ,                 ,
   53 ,FTMAKE           ,     1 ,3:41         ,Jerome Free Throw 1 of 2 (1 PTS)                               ,                   ,                                                      ,17 - 24   ,7           ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   54 ,FTMAKE           ,     1 ,3:41         ,Jerome Free Throw 2 of 2 (2 PTS)                               ,                   ,                                                      ,17 - 25   ,8           ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   55 ,2POINT           ,     1 ,3:30         ,                                                               ,                   ,Kuminga 4' Driving Layup (4 PTS)                      ,19 - 25   ,6           ,Jonathan Kuminga        ,GSW                       ,                        ,                          ,                 ,
   56 ,TURNOVER         ,     1 ,3:15         ,Dort Bad Pass Turnover (P1.T5)                                 ,                   ,Lamb STEAL (1 STL)                                    ,          ,            ,Luguentz Dort           ,OKC                       ,Jeremy Lamb             ,GSW                       ,                 ,
   57 ,2POINTMISS       ,     1 ,3:11         ,                                                               ,                   ,MISS Kuminga 2' Running Layup                         ,          ,            ,Jonathan Kuminga        ,GSW                       ,                        ,                          ,                 ,
   58 ,REBOUND          ,     1 ,3:08         ,Bazley REBOUND (Off:2 Def:1)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   59 ,2POINT           ,     1 ,3:00         ,Giddey 17' Pullup Jump Shot (7 PTS)                            ,                   ,                                                      ,19 - 27   ,8           ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   60 ,2POINT           ,     1 ,2:43         ,                                                               ,                   ,DiVincenzo 9' Driving Floating Bank Jump Shot (2 PTS) ,21 - 27   ,6           ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
   61 ,FOUL             ,     1 ,2:20         ,                                                               ,                   ,Kuminga P.FOUL (P2.T3) (P.Fraher)                     ,          ,            ,Jonathan Kuminga        ,GSW                       ,Luguentz Dort           ,OKC                       ,                 ,
   62 ,FTMAKE           ,     1 ,2:20         ,Dort Free Throw 1 of 2 (6 PTS)                                 ,                   ,                                                      ,21 - 28   ,7           ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
   63 ,FTMISS           ,     1 ,2:20         ,MISS Dort Free Throw 2 of 2                                    ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
   64 ,REBOUND          ,     1 ,2:18         ,                                                               ,                   ,Lamb REBOUND (Off:0 Def:2)                            ,          ,            ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
   65 ,2POINT           ,     1 ,2:08         ,                                                               ,                   ,Kuminga 1' Driving Dunk (6 PTS)                       ,23 - 28   ,5           ,Jonathan Kuminga        ,GSW                       ,                        ,                          ,                 ,
   66 ,2POINTMISS       ,     1 ,1:55         ,MISS Jerome 8' Driving Floating Jump Shot                      ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   67 ,REBOUND          ,     1 ,1:50         ,THUNDER Rebound                                                ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
   68 ,2POINT           ,     1 ,1:46         ,Bazley 2' Driving Dunk (4 PTS)                                 ,                   ,                                                      ,23 - 30   ,7           ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   69 ,2POINT           ,     1 ,1:26         ,                                                               ,                   ,DiVincenzo 8' Floating Jump Shot (4 PTS)              ,25 - 30   ,5           ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
   70 ,3POINT           ,     1 ,1:18         ,Jerome 24' 3PT Jump Shot (5 PTS)                               ,                   ,                                                      ,25 - 33   ,8           ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   71 ,3POINTMISS       ,     1 ,0:59         ,                                                               ,                   ,MISS Lamb 25' 3PT Jump Shot                           ,          ,            ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
   72 ,REBOUND          ,     1 ,0:55         ,Giddey REBOUND (Off:0 Def:3)                                   ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   73 ,2POINT           ,     1 ,0:35         ,Giddey 14' Fadeaway Bank Jump Shot (9 PTS)                     ,                   ,                                                      ,25 - 35   ,10          ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   74 ,2POINTMISS       ,     1 ,0:15         ,                                                               ,                   ,MISS Kuminga 12' Step Back Jump Shot                  ,          ,            ,Jonathan Kuminga        ,GSW                       ,                        ,                          ,                 ,
   75 ,REBOUND          ,     1 ,0:12         ,Bazley REBOUND (Off:2 Def:2)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
   76 ,3POINT           ,     1 ,0:01         ,Jerome 32' 3PT Jump Shot (8 PTS)                               ,                   ,                                                      ,25 - 38   ,13          ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
   77 ,2POINT           ,     2 ,11:45        ,                                                               ,                   ,Curry 7' Floating Jump Shot (5 PTS)                   ,27 - 38   ,11          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   78 ,3POINTMISS       ,     2 ,11:28        ,MISS Gilgeous-Alexander 26' 3PT Jump Shot                      ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
   79 ,REBOUND          ,     2 ,11:25        ,                                                               ,                   ,Looney REBOUND (Off:0 Def:2)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
   80 ,2POINT           ,     2 ,11:17        ,                                                               ,                   ,Thompson 11' Pullup Jump Shot (4 PTS)                 ,29 - 38   ,9           ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
   81 ,2POINT           ,     2 ,11:03        ,Pokusevski 4' Cutting Layup Shot (2 PTS)                       ,                   ,                                                      ,29 - 40   ,11          ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
   82 ,FOUL             ,     2 ,10:53        ,                                                               ,                   ,Dort S.FOUL (P2.T1) (P.Fraher)                        ,          ,            ,Luguentz Dort           ,OKC                       ,Stephen Curry           ,GSW                       ,                 ,
   83 ,FTMAKE           ,     2 ,10:53        ,                                                               ,                   ,Curry Free Throw 1 of 2 (6 PTS)                       ,30 - 40   ,10          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   84 ,FTMAKE           ,     2 ,10:53        ,                                                               ,                   ,Curry Free Throw 2 of 2 (7 PTS)                       ,31 - 40   ,9           ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   85 ,TURNOVER         ,     2 ,10:38        ,Gilgeous-Alexander Lost Ball Turnover (P3.T6)                  ,                   ,Thompson STEAL (2 STL)                                ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Klay Thompson           ,GSW                       ,                 ,
   86 ,2POINT           ,     2 ,10:33        ,                                                               ,                   ,Thompson 2' Running Layup (6 PTS)                     ,33 - 40   ,7           ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
   87 ,3POINT           ,     2 ,10:21        ,Giddey 25' 3PT Jump Shot (12 PTS)                              ,                   ,                                                      ,33 - 43   ,10          ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   88 ,3POINT           ,     2 ,10:08        ,                                                               ,                   ,Curry 26' 3PT Jump Shot (10 PTS)                      ,36 - 43   ,7           ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   89 ,2POINT           ,     2 ,9:53         ,Dort 14' Pullup Jump Shot (8 PTS)                              ,                   ,                                                      ,36 - 45   ,9           ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
   90 ,2POINTMISS       ,     2 ,9:40         ,                                                               ,                   ,MISS Wiggins 9' Driving Floating Jump Shot            ,          ,            ,Andrew Wiggins          ,GSW                       ,                        ,                          ,                 ,
   91 ,REBOUND          ,     2 ,9:37         ,Pokusevski REBOUND (Off:0 Def:4)                               ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
   92 ,3POINTMISS       ,     2 ,9:28         ,MISS Giddey 26' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
   93 ,REBOUND          ,     2 ,9:23         ,                                                               ,                   ,Green REBOUND (Off:0 Def:2)                           ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
   94 ,2POINT_ASSIST    ,     2 ,9:18         ,                                                               ,                   ,Thompson 20' Jump Shot (8 PTS) (Green 1 AST)          ,38 - 45   ,7           ,Klay Thompson           ,GSW                       ,Draymond Green          ,GSW                       ,                 ,
   95 ,FOUL             ,     2 ,9:04         ,                                                               ,                   ,Looney P.FOUL (P1.T1) (S.Wall)                        ,          ,            ,Kevon Looney            ,GSW                       ,Aleksej Pokusevski      ,OKC                       ,                 ,
   96 ,FOUL             ,     2 ,8:54         ,Gilgeous-Alexander P.FOUL (P1.T2) (S.Wall)                     ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Stephen Curry           ,GSW                       ,                 ,
   97 ,FTMAKE           ,     2 ,8:54         ,                                                               ,                   ,Curry Free Throw 1 of 2 (11 PTS)                      ,39 - 45   ,6           ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   98 ,FTMAKE           ,     2 ,8:54         ,                                                               ,                   ,Curry Free Throw 2 of 2 (12 PTS)                      ,40 - 45   ,5           ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
   99 ,2POINTMISS       ,     2 ,8:36         ,MISS Dort 18' Step Back Jump Shot                              ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  100 ,REBOUND          ,     2 ,8:34         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:3)                          ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  101 ,2POINT_ASSIST    ,     2 ,8:24         ,                                                               ,                   ,Wiggins 1' Cutting Dunk Shot (4 PTS) (Curry 2 AST)    ,42 - 45   ,3           ,Andrew Wiggins          ,GSW                       ,Stephen Curry           ,GSW                       ,                 ,
  102 ,FOUL             ,     2 ,8:08         ,Giddey OFF.Foul (P2.T3) (S.Wall)                               ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,Kevon Looney            ,GSW                       ,                 ,
  103 ,TURNOVER         ,     2 ,8:06         ,                                                               ,                   ,Thompson Bad Pass Turnover (P1.T5)                    ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  104 ,STEAL_TURNOVER   ,     2 ,8:05         ,Gilgeous-Alexander Bad Pass Turnover (P4.T7)                   ,                   ,Green STEAL (1 STL)                                   ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,Draymond Green          ,GSW                       ,                 ,
  105 ,2POINT           ,     2 ,7:54         ,                                                               ,                   ,Green 4' Driving Layup (2 PTS)                        ,44 - 45   ,1           ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  106 ,TIMEOUT          ,     2 ,7:49         ,Thunder Timeout: Regular (Reg.3 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  107 ,TURNOVER         ,     2 ,7:35         ,Pokusevski Lost Ball Turnover (P3.T8)                          ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,                        ,                          ,                 ,
  108 ,STEAL            ,     2 ,7:33         ,                                                               ,                   ,Green STEAL (2 STL)                                   ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  109 ,3POINT           ,     2 ,7:28         ,                                                               ,                   ,Thompson 24' 3PT Jump Shot (11 PTS)                   ,47 - 45   ,-2          ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  110 ,TURNOVER         ,     2 ,7:12         ,Gilgeous-Alexander Out of Bounds - Bad Pass Turnover (P5.T9)   ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  111 ,3POINT           ,     2 ,7:02         ,                                                               ,                   ,Curry 25' 3PT Jump Shot (15 PTS)                      ,50 - 45   ,-5          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  112 ,3POINT           ,     2 ,6:44         ,Mann 26' 3PT Jump Shot (7 PTS)                                 ,                   ,                                                      ,50 - 48   ,-2          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  113 ,2POINT_ASSIST    ,     2 ,6:29         ,                                                               ,                   ,Wiggins 1' Cutting Dunk Shot (6 PTS) (Green 2 AST)    ,52 - 48   ,-4          ,Andrew Wiggins          ,GSW                       ,Draymond Green          ,GSW                       ,                 ,
  114 ,FOUL             ,     2 ,6:21         ,                                                               ,                   ,Wiggins S.FOUL (P1.T2) (S.Wall)                       ,          ,            ,Andrew Wiggins          ,GSW                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
  115 ,SUB              ,     2 ,6:21         ,                                                               ,                   ,SUB: Poole FOR Curry                                  ,          ,            ,Stephen Curry           ,GSW                       ,Jordan Poole            ,GSW                       ,                 ,
  116 ,SUB              ,     2 ,6:21         ,SUB: Joe FOR Pokusevski                                        ,                   ,                                                      ,          ,            ,Aleksej Pokusevski      ,OKC                       ,Isaiah Joe              ,OKC                       ,                 ,
  117 ,2POINT           ,     2 ,6:16         ,Dort 6' Driving Reverse Layup (10 PTS)                         ,                   ,                                                      ,52 - 50   ,-2          ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  118 ,3POINT           ,     2 ,6:00         ,                                                               ,                   ,Poole 25' 3PT Jump Shot (8 PTS)                       ,55 - 50   ,-5          ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  119 ,2POINT           ,     2 ,5:47         ,Gilgeous-Alexander 17' Pullup Jump Shot (9 PTS)                ,                   ,                                                      ,55 - 52   ,-3          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  120 ,FOUL             ,     2 ,5:35         ,Joe S.FOUL (P1.T4) (M.Lindsay)                                 ,                   ,                                                      ,          ,            ,Isaiah Joe              ,OKC                       ,Klay Thompson           ,GSW                       ,                 ,
  121 ,SUB              ,     2 ,5:35         ,SUB: Jerome FOR Dort                                           ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,Ty Jerome               ,OKC                       ,                 ,
  122 ,SUB              ,     2 ,5:35         ,SUB: Bazley FOR Giddey                                         ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,Darius Bazley           ,OKC                       ,                 ,
  123 ,FTMISS           ,     2 ,5:35         ,                                                               ,                   ,MISS Thompson Free Throw 1 of 2                       ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  124 ,REBOUND          ,     2 ,5:35         ,WARRIORS Rebound                                               ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  125 ,FTMAKE           ,     2 ,5:35         ,                                                               ,                   ,Thompson Free Throw 2 of 2 (12 PTS)                   ,56 - 52   ,-4          ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  126 ,TIMEOUT          ,     2 ,5:35         ,Thunder Timeout: Regular (Reg.4 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  127 ,3POINT           ,     2 ,5:23         ,Joe 25' 3PT Jump Shot (3 PTS)                                  ,                   ,                                                      ,56 - 55   ,-1          ,Isaiah Joe              ,OKC                       ,                        ,                          ,                 ,
  128 ,TURNOVER         ,     2 ,5:05         ,                                                               ,                   ,Thompson Lost Ball Turnover (P2.T6)                   ,          ,            ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  129 ,STEAL            ,     2 ,5:04         ,Jerome STEAL (1 STL)                                           ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  130 ,2POINT           ,     2 ,5:01         ,Jerome 1' Running Layup (10 PTS)                               ,                   ,                                                      ,56 - 57   ,1           ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  131 ,3POINT           ,     2 ,4:45         ,                                                               ,                   ,Green 26' 3PT Jump Shot (5 PTS)                       ,59 - 57   ,-2          ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  132 ,3POINTMISS       ,     2 ,4:27         ,MISS Gilgeous-Alexander 28' 3PT Jump Shot                      ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
