,eventmsgtype,period,pctimestring,neutraldescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
70,2POINT,1,3:40,Poole 5' Driving Floating Jump Shot (2 PTS),21 - 22,1,Jordan Poole,GSW,,,,
71,TURNOVER,1,3:27,Diallo Bad Pass Turnover (P1.T3),21 - 22,1,Hamidou Diallo,OKC,,,,
72,STEAL,1,3:26,Poole STEAL (1 STL),21 - 22,1,Jordan Poole,GSW,,,,
73,SUB,1,3:24,SUB: Moody FOR Poole,21 - 22,1,Jordan Poole,GSW,Moses Moody,GSW,,
74,2POINT,1,3:18,Kuminga 2' Driving Layup (2 PTS),21 - 24,3,Jonathan Kuminga,GSW,,,,
75,2POINT,1,3:01,Mann 20' Pullup Jump Shot (2 PTS),23 - 24,1,Tre Mann,OKC,,,,
76,2POINTMISS,1,2:42,MISS Green 10' Fadeaway Jumper,23 - 24,1,Draymond Green,GSW,,,,
77,REBOUND,1,2:40,Mann REBOUND (Off:0 Def:1),23 - 24,1,Tre Mann,OKC,,,,
78,2POINT,1,2:34,Sarr 15' Jump Shot (2 PTS),25 - 24,-1,Olivier Sarr,OKC,,,,
79,FOUL,1,2:15,Mann P.FOUL (P1.T1),25 - 24,-1,Tre Mann,OKC,Moses Moody,GSW,,
80,FTMAKE,1,2:15,Moody Free Throw 1 of 2 (1 PTS),25 - 25,TIE,Moses Moody,GSW,,,,
81,FTMAKE,1,2:15,Moody Free Throw 2 of 2 (2 PTS),25 -26,1,Moses Moody,GSW,,,,
82,2POINT,1,2:04,Dort 3' Driving Layup (7 PTS),27 - 26,-1,Luguentz Dort,OKC,,,,
83,2POINT,1,1:49,Wiseman 2' Alley Oop Dunk (4 PTS),27 - 28,1,James Wiseman,GSW,,,,
84,3POINTMISS,1,1:32,MISS Bazley 27' 3PT Jump Shot,27 - 28,1,Darius Bazley,OKC,,,,
85,REBOUND,1,1:29,Wiseman REBOUND (Off:0 Def:3),27 - 28,1,James Wiseman,GSW,,,,
86,2POINT,1,1:19,Wiseman 1' Dunk (6 PTS),27 - 30,3,James Wiseman,GSW,,,,
87,TURNOVER,1,1:06,Diallo Lost Ball Turnover (P2.T4),27 - 30,3,Hamidou Diallo,OKC,,,,
88,STEAL,1,1:05,Lamb STEAL (1 STL),27 - 30,3,Anthony Lamb,GSW,,,,
89,2POINT,1,1:01,Kuminga 1' Putback Layup (4 PTS),27 - 32,5,Jonathan Kuminga,GSW,,,,
90,2POINT,1,0:47,Dort 1' Driving Layup (9 PTS),29 - 32,3,Luguentz Dort,OKC,,,,
91,FOUL,1,0:32,Diallo S.FOUL (P1.T2),29 - 32,3,Hamidou Diallo,OKC,Anthony Lamb,GSW,,
92,FTMAKE,1,0:32,Lamb Free Throw 1 of 2 (1 PTS),29 - 33,4,Anthony Lamb,GSW,,,,
93,FTMAKE,1,0:32,Lamb Free Throw 2 of 2 (2 PTS),29 - 34,5,Anthony Lamb,GSW,,,,
94,2POINTMISS,1,0:18,MISS Mann 25' 3PT Jump Shot,29 - 34,5,Tre Mann,OKC,,,,
95,REBOUND,1,0:15,J. Green REBOUND (Off:1 Def:0),29 - 34,5,JaMychal Green,OKC,,,,
96,2POINT,1,0:14,J. Green 1' Putback Layup (2 PTS),31 - 34,3,JaMychal Green,OKC,,,,
97,TURNOVER,1,0:03,Green Lost Ball Turnover (P1.T3),31 - 34,3,Draymond Green,GSW,,,,
98,STEAL,1,0:02,Dort STEAL (2 STL),31 - 34,3,Luguentz Dort,OKC,,,,
99,3POINTMISS,1,0:00,MISS Mann 35' 3PT Jump Shot,31 - 34,3,Tre Mann,OKC,,,,
100,REBOUND,1,0:00,Warriors Rebound,31 - 34,3,,,,,,
101,ENDOFPERIOD,1,0:00,End of 1st Period,31 - 34,3,,,,,,



102,STARTOFPERIOD,2,12:00,Start of 2nd Period,31 - 34,3,,,,,,
103,2POINT,2,11:45,Wiseman 2' Layup (8 PTS),31 - 36,5,James Wiseman,GSW,,,,
104,3POINTMISS,2,11:29,MISS Gilgeous-Alexander 26' 3PT Jump Shot,31 - 36,5,Shai Gilgeous-Alexander,OKC,,,,
105,REBOUND,2,11:26,Wiseman REBOUND (Off:0 Def:4),31 - 36,5,James Wiseman,GSW,,,,
106,3POINT,2,11:20,Poole 25' 3PT Jump Shot (5 PTS),31 - 39,8,Jordan Poole,GSW,,,,
107,2POINT,2,11:02,Giddey 4' Driving Layup (4 PTS),33 - 39,6,Josh Giddey,OKC,,,,
108,FOUL,2,10:46,Holmgren S.FOUL (P1.T3),33 - 39,6,Chet Holmgren,OKC,Jordan Poole,GSW,,
109,FTMAKE,2,10:46,Poole Free Throw 1 of 2 (6 PTS),33 - 40,7,Jordan Poole,GSW,,,,
110,FTMAKE,2,10:46,Poole Free Throw 2 of 2 (7 PTS),33 - 41,8,Jordan Poole,GSW,,,,
111,SUB,2,10:46,SUB: J. Green FOR Holmgren,33 - 41,8,Chet Holmgren,OKC,JaMychal Green,OKC,,
112,SUB,2,10:46,SUB: Sarr FOR Robinson-Earl,33 - 41,8,Jeremiah Robinson-Earl,OKC,Olivier Sarr,OKC,,
113,SUB,2,10:46,SUB: Kuminga FOR Wiggins,33 - 41,8,Andrew Wiggins,GSW,Jonathan Kuminga,GSW,,
114,SUB,2,10:46,SUB: Moody FOR Thompson,33 - 41,8,Klay Thompson,GSW,Moses Moody,GSW,,
115,2POINTMISS,2,10:31,MISS Gilgeous-Alexander 6' Driving Floating Jump Shot,33 - 41,8,Shai Gilgeous-Alexander,OKC,,,,
116,REBOUND,2,10:29,Wiseman REBOUND (Off:0 Def:5),33 - 41,8,James Wiseman,GSW,,,,
117,TURNOVER,2,10:20,Wiseman Lost Ball Turnover (P1.T4),33 - 41,8,James Wiseman,GSW,,,,
118,STEAL,2,10:19,Giddey STEAL (1 STL),33 - 41,8,Josh Giddey,OKC,,,,
119,3POINTMISS,2,10:12,MISS Dort 29' 3PT Pullup Jump Shot,33 - 41,8,Luguentz Dort,OKC,,,,
120,REBOUND,2,10:09,Poole REBOUND (Off:0 Def:1),33 - 41,8,Jordan Poole,GSW,,,,
121,3POINT,2,10:02,Moody 27' 3PT Jump Shot (5 PTS),33 - 44,11,Moses Moody,GSW,,,,
122,FOUL,2,9:46,Wiseman P.FOUL (P1.T1),33 - 44,11,James Wiseman,GSW,Shai Gilgeous-Alexander,OKC,,
123,SUB,2,9:46,SUB: Joe FOR Wallace,33 - 44,11,Cason Wallace,OKC,Isaiah Joe,OKC,,
124,2POINTMISS,2,9:36,MISS Giddey 5' Driving Layup,33 - 44,11,Josh Giddey,OKC,,,,
125,REBOUND,2,9:33,Green REBOUND (Off:0 Def:3),33 - 44,11,Draymond Green,GSW,,,,
126,2POINT,2,9:21,Poole 6' Driving Floating Jump Shot (9 PTS),33 - 46,13,Jordan Poole,GSW,,,,
127,TIMEOUT,2,9:20,Thunder Timeout: Regular (Reg.2 Short 0),33 - 46,13,,,,,,
128,3POINT,2,9:13,Gilgeous-Alexander 25' 3PT Jump Shot (12 PTS),36 - 46,10,Shai Gilgeous-Alexander,OKC,,,,
129,TURNOVER,2,8:59,Poole Bad Pass Turnover (P1.T5),36 - 46,10,Jordan Poole,GSW,,,,
130,STEAL,2,8:58,Dort STEAL (3 STL),36 - 46,10,Luguentz Dort,OKC,,,,
131,2POINT,2,8:56,Dort 3' Running Layup (11 PTS),38 - 46,8,Luguentz Dort,OKC,,,,
132,2POINT,2,8:40,Kuminga 17' Pullup Jump Shot (6 PTS),38 - 48,10,Jonathan Kuminga,GSW,,,,
133,3POINTMISS,2,8:21,MISS J. Green 26' 3PT Jump Shot,38 - 48,10,JaMychal Green,OKC,,,,
134,REBOUND,2,8:18,Poole REBOUND (Off:0 Def:2),38 - 48,10,Jordan Poole,GSW,,,,
135,FOUL,2,8:14,Sarr S.FOUL (P1.T4),38 - 48,10,Olivier Sarr,OKC,Jordan Poole,GSW,,
136,3POINT,2,8:06,Moody 25' 3PT Jump Shot (8 PTS),38 - 51,13,Moses Moody,GSW,,,,
137,SUB,2,7:49,SUB: Jay. Williams FOR Dort,38 - 51,13,Luguentz Dort,OKC,Jaylin Williams,OKC,,
138,SUB,2,7:49,SUB: Wallace FOR Holmgren,38 - 51,13,Chet Holmgren,OKC,Cason Wallace,OKC,,
139,3POINTMISS,2,7:44,MISS Gilgeous-Alexander 26' 3PT Jump Shot,38 - 51,13,Shai Gilgeous-Alexander,OKC,,,,
140,REBOUND,2,7:41,Sarr REBOUND (Off:1 Def:1),38 - 51,13,Olivier Sarr,OKC,,,,
141,2POINT,2,7:36,J. Green 5' Turnaround Hook Shot (4 PTS),40 - 51,11,JaMychal Green,OKC,,,,
142,3POINTMISS,2,7:15,MISS Poole 26' 3PT Step Back Jump Shot,40 - 51,11,Jordan Poole,GSW,,,,
143,REBOUND,2,7:12,Sarr REBOUND (Off:1 Def:2),40 - 51,11,Olivier Sarr,OKC,,,,
144,3POINT,2,7:03,Jay. Williams 3PT Jump Shot (3 PTS),43 - 51,8,Jaylin Williams,OKC,,,,
145,3POINT,2,6:42,Poole 26' 3PT Pullup Jump Shot (12 PTS),43 - 54,11,Jordan Poole,GSW,,,,
146,2POINT,2,6:31,Gilgeous-Alexander 2' Driving Layup (14 PTS),45 - 54,9,Shai Gilgeous-Alexander,OKC,,,,
147,SUB,2,6:17,SUB: Curry FOR Moody,45 - 54,9,Moses Moody,GSW,Stephen Curry,GSW,,
148,3POINT,2,6:11,Green 26' 3PT Jump Shot (3 PTS),45 - 57,12,Draymond Green,GSW,,,,
149,TIMEOUT,2,6:10,Thunder Timeout: Regular (Reg.3 Short 0),45 - 57,12,,,,,,
150,SUB,2,6:10,SUB: Jal. Williams FOR J. Green,45 - 57,12,JaMychal Green,OKC,Jalen Williams,OKC,,
151,SUB,2,6:10,SUB: Giddey FOR Sarr,45 - 57,12,Olivier Sarr,OKC,Josh Giddey,OKC,,
152,SUB,2,6:10,SUB: Dort FOR Jay. Williams,45 - 57,12,Jaylin Williams,OKC,Luguentz Dort,OKC,,
153,SUB,2,6:10,SUB: Thompson FOR Kuminga,45 - 57,12,Jonathan Kuminga,GSW,Klay Thompson,GSW,,
154,SUB,2,6:10,SUB: Looney FOR Wiseman,45 - 57,12,James Wiseman,GSW,Kevon Looney,GSW,,
155,3POINTMISS,2,5:57,MISS Dort 27' 3PT Jump Shot,45 - 57,12,Luguentz Dort,OKC,,,,
156,REBOUND,2,5:55,Curry REBOUND (Off:0 Def:2),45 - 57,12,Stephen Curry,GSW,,,,
157,3POINTMISS,2,5:44,MISS Thompson 28' 3PT Jump Shot,45 - 57,12,Klay Thompson,GSW,,,,
158,REBOUND,2,5:41,Giddey REBOUND (Off:0 Def:2),45 - 57,12,Josh Giddey,OKC,,,,
159,2POINT,2,5:24,Jal. Williams 6' Driving Bank Hook Shot (2 PTS),47 - 57,10,Jalen Williams,OKC,,,,
160,2POINTMISS,2,5:07,MISS Green 4' Driving Layup,47 - 57,10,Draymond Green,GSW,,,,
161,REBOUND,2,5:04,Dort REBOUND (Off:0 Def:2),47 - 57,10,Luguentz Dort,OKC,,,,
162,TURNOVER,2,5:00,Giddey Bad Pass Turnover (P1.T5),47 - 57,10,Josh Giddey,OKC,,,,
163,STEAL,2,4:59,Curry STEAL (2 STL),47 - 57,10,Stephen Curry,GSW,,,,
164,2POINT,2,4:56,Curry 1' Running Layup (9 PTS),47 - 59,12,Stephen Curry,GSW,,,,
165,FOUL,2,4:56,Dort S.FOUL (P1.T5),47 - 59,12,Luguentz Dort,OKC,Stephen Curry,GSW,,
166,FTMAKE,2,4:56,Curry Free Throw 1 of 1 (10 PTS),47 - 60,13,Stephen Curry,GSW,,,,
167,2POINTMISS,2,4:41,MISS Gilgeous-Alexander 13' Fadeaway Jumper,47 - 60,13,Shai Gilgeous-Alexander,OKC,,,,
168,REBOUND,2,4:39,Green REBOUND (Off:0 Def:4),47 - 60,13,Draymond Green,GSW,,,,
169,3POINT,2,4:28,Thompson 26' 3PT Jump Shot (9 PTS),47 - 63,16,Klay Thompson,GSW,,,,
170,3POINT,2,4:17,Dort 28' 3PT Jump Shot (14 PTS),50 - 63,13,Luguentz Dort,OKC,,,,
171,2POINT,2,4:07,Curry 2' Running Layup (12 PTS),50 - 65,15,Stephen Curry,GSW,,,,
172,2POINT,2,3:51,Gilgeous-Alexander 5' Driving Floating Bank Jump Shot (16 PTS),52 - 65,13,Shai Gilgeous-Alexander,OKC,,,,
173,2POINTMISS,2,3:37,MISS Looney 1' Tip Layup Shot,52 - 65,13,Kevon Looney,GSW,,,,
174,REBOUND,2,3:35,Warriors Rebound,52 - 65,13,,,,,,
175,3POINT,2,3:34,Curry 29' 3PT Step Back Jump Shot (15 PTS),52 - 68,16,Stephen Curry,GSW,,,,
176,2POINTMISS,2,3:15,MISS Giddey 6' Floating Jump Shot,52 - 68,16,Josh Giddey,OKC,,,,
177,REBOUND,2,3:12,Curry REBOUND (Off:0 Def:3),52 - 68,16,Stephen Curry,GSW,,,,
178,2POINT,2,3:00,Looney 1' Putback Layup Shot (4 PTS),52 - 70,18,Kevon Looney,GSW,,,,
179,FOUL,2,3:00,Gilgeous-Alexander S.FOUL (P1.T6),52 - 70,18,Shai Gilgeous-Alexander,OKC,Kevon Looney,GSW,,
180,FTMISS,2,3:00,MISS Looney Free Throw 1 of 1,52 - 70,18,Kevon Looney,GSW,,,,
181,REBOUND,2,2:58,Jal. Williams REBOUND (Off:0 Def:1),52 - 70,18,Jalen Williams,OKC,,,,
182,3POINT,2,2:49,Giddey 26' 3PT Jump Shot (7 PTS),55 - 70,15,Josh Giddey,OKC,,,,
183,2POINT,2,2:35,Curry 4' Floating Jump Shot (17 PTS),55 - 72,17,Stephen Curry,GSW,,,,
184,3POINTMISS,2,2:26,MISS Dort 27' 3PT Pullup Jump Shot,55 - 72,17,Luguentz Dort,OKC,,,,
185,REBOUND,2,2:23,Looney REBOUND (Off:1 Def:1),55 - 72,17,Kevon Looney,GSW,,,,
186,3POINT,2,2:16,Curry 25' 3PT Pullup Jump Shot (20 PTS),55 - 75,20,Stephen Curry,GSW,,,,
187,TIMEOUT,2,2:16,Thunder Timeout: Regular (Reg.4 Short 0),55 - 75,20,,,,,,
188,3POINT,2,2:04,Gilgeous-Alexander 26' 3PT Step Back Jump Shot (19 PTS),58 - 75,17,Shai Gilgeous-Alexander,OKC,,,,
189,2POINT,2,1:45,Looney 2' Cutting Layup Shot (6 PTS),58 - 77,19,Kevon Looney,GSW,,,,
190,2POINT,2,1:34,Giddey 2' Driving Layup (9 PTS),60 - 77,17,Josh Giddey,OKC,,,,
191,3POINT,2,1:25,Thompson 28' 3PT Pullup Jump Shot (12 PTS),60 - 80,20,Klay Thompson,GSW,,,,
192,3POINT,2,1:12,Gilgeous-Alexander 27' 3PT Step Back Jump Shot (22 PTS),63 - 80,17,Shai Gilgeous-Alexander,OKC,,,,
193,3POINT,2,0:59,Thompson 25' 3PT Jump Shot (15 PTS),63 - 83,20,Klay Thompson,GSW,,,,
194,2POINTMISS,2,0:44,MISS Giddey 5' Driving Layup,63 - 83,20,Josh Giddey,OKC,,,,
195,REBOUND,2,0:42,Green REBOUND (Off:0 Def:5),63 - 83,20,Draymond Green,GSW,,,,
196,3POINT,2,0:35,Curry 30' 3PT Step Back Jump Shot (23 PTS),63 - 86,23,Stephen Curry,GSW,,,,
197,TURNOVER,2,0:23,Gilgeous-Alexander Lost Ball Turnover (P2.T6),63 - 86,23,Shai Gilgeous-Alexander,OKC,,,,
198,STEAL,2,0:22,Curry STEAL (3 STL),63 - 86,23,Stephen Curry,GSW,,,,
199,3POINT,2,0:06,Curry 27' 3PT Running Jump Shot (26 PTS),63 - 89,26,Stephen Curry,GSW,,,,
200,3POINTMISS,2,0:00,MISS Giddey 33' 3PT Pullup Jump Shot,63 - 89,26,Josh Giddey,OKC,,,,
201,REBOUND,2,0:00,Warriors Rebound,63 - 89,26,,,,,,
202,ENDOFPERIOD,2,0:00,End of 2nd Period,63 - 89,26,,,,,,


203,STARTOFPERIOD,3,12:00,Start of 3rd Period,63 - 89,26,,,,,,
204,2POINTMISS,3,11:45,MISS Holmgren 12' Jump Shot,63 - 89,26,Chet Holmgren,OKC,,,,
205,REBOUND,3,11:43,Curry REBOUND (Off:0 Def:4),63 - 89,26,Stephen Curry,GSW,,,,
206,3POINTMISS,3,11:30,MISS Thompson 27' 3PT Jump Shot,63 - 89,26,Klay Thompson,GSW,,,,
207,REBOUND,3,11:27,Dort REBOUND (Off:0 Def:3),63 - 89,26,Luguentz Dort,OKC,,,,
208,2POINT,3,11:19,Holmgren 2' Dunk (4 PTS),65 - 89,24,Chet Holmgren,OKC,,,,
209,2POINTMISS,3,11:05,MISS Wiggins 14' Turnaround Fadeaway Shot,65 - 89,24,Andrew Wiggins,GSW,,,,
210,REBOUND,3,11:02,Giddey REBOUND (Off:0 Def:3),65 - 89,24,Josh Giddey,OKC,,,,
211,2POINT,3,10:55,Holmgren 2' Cutting Layup Shot (6 PTS),67 - 89,22,Chet Holmgren,OKC,,,,
212,2POINT,3,10:40,Wiggins 2' Cutting Layup Shot (5 PTS),67 - 91,24,Andrew Wiggins,GSW,,,,
213,3POINT,3,10:27,Gilgeous-Alexander 25' 3PT Jump Shot (25 PTS),70 - 91,21,Shai Gilgeous-Alexander,OKC,,,,
214,2POINT,3,10:10,Looney 4' Layup (8 PTS),70 - 93,23,Kevon Looney,GSW,,,,
215,3POINTMISS,3,9:58,MISS Giddey 28' 3PT Jump Shot,70 - 93,23,Josh Giddey,OKC,,,,
216,REBOUND,3,9:55,Wiggins REBOUND (Off:0 Def:1),70 - 93,23,Andrew Wiggins,GSW,,,,
217,3POINT,3,9:45,Thompson 26' 3PT Jump Shot (18 PTS),70 - 96,26,Klay Thompson,GSW,,,,
218,2POINT,3,9:31,Gilgeous-Alexander 5' Driving Floating Bank Jump Shot (27 PTS),72 - 96,24,Shai Gilgeous-Alexander,OKC,,,,
219,2POINT,3,9:15,Green 2' Cutting Layup Shot (5 PTS),72 - 98,26,Draymond Green,GSW,,,,
220,FOUL,3,9:06,Curry P.FOUL (P1.T1),72 - 98,26,Stephen Curry,GSW,Shai Gilgeous-Alexander,OKC,,
221,FTMAKE,3,9:06,Gilgeous-Alexander Free Throw 1 of 2 (28 PTS),73 - 98,25,Shai Gilgeous-Alexander,OKC,,,,
222,FTMAKE,3,9:06,Gilgeous-Alexander Free Throw 2 of 2 (29 PTS),74 - 98,24,Shai Gilgeous-Alexander,OKC,,,,
223,2POINT,3,8:53,Curry 2' Driving Finger Roll Layup (28 PTS),74 - 100,26,Stephen Curry,GSW,,,,
